gene_id,B10_S1,B11_S2,B12_S3,D10_S4,D11_S5,D12_S6,H13_S7,H14_S8,H15_S9,L13_S10,L14_S11,L15_S12
FGRAM000v1_001055,37.170621,37.929687,39.803285,36.728416,41.882558,34.106817,38.83249,50.151194,42.797073,35.798957,33.091952,35.686448
FGRAM000v1_001056,69.224068,74.217458,56.291708,67.666165,71.43005,68.103412,51.781925,63.012336,55.514668,66.654608,64.888302,64.790832
FGRAM000v1_001057,0.0,1.409869,0.864372,0.0,0.0,0.0,0.0,0.752764,0.0,0.0,0.0,0.892875
FGRAM000v1_001058,0.0,0.0,0.0,0.293763,0.0,0.434112,0.204732,0.0,0.0,0.193038,0.14139,0.0
FGRAM000v1_001059,76.856638,80.298336,77.011721,97.114607,86.696228,89.925905,74.189635,71.02225,76.520045,73.731597,73.627168,72.686058
FGRAM000v1_001060,41.913826,44.670966,36.019226,52.777608,58.824952,53.301365,50.148602,62.90298,49.970268,70.817088,76.021787,74.361634
FGRAM000v1_001061,1.34684,0.19257,0.546852,1.607129,1.454972,1.428759,0.356296,1.072561,0.770629,0.710808,1.681386,2.419873
FGRAM000v1_001062,19.603052,19.921492,17.778066,24.4135,25.507033,25.844924,18.712296,21.65089,19.271253,32.089713,31.188135,30.175959
FGRAM000v1_001063,3.304599,3.362717,4.717566,6.526507,7.080522,6.99809,3.575259,3.661507,4.539382,3.274458,4.253546,4.201077
FGRAM000v1_001064,28.038757,31.006181,29.039253,28.086667,25.415578,26.741779,25.561358,25.838898,25.573661,21.191971,20.688448,19.899182
FGRAM000v1_001065,77.037465,86.793038,71.384826,75.074213,75.581466,73.184021,62.852299,70.545349,63.066242,71.747613,74.952367,71.736511
FGRAM000v1_001066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_001067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189437,0.0,0.0,0.0
FGRAM000v1_001068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_001069,0.614005,0.649118,2.071975,0.99989,1.254451,1.934891,0.573343,0.783533,0.0,1.484511,1.629633,0.589009
FGRAM000v1_001070,10.916199,11.15467,9.769839,12.51489,12.604751,10.261906,11.768878,15.985295,10.36205,15.316054,13.226405,11.044969
FGRAM000v1_001071,14.309726,19.738512,10.876221,26.592747,22.738014,19.367626,13.164535,14.709243,15.677451,26.645934,24.591206,20.944778
FGRAM000v1_001072,32.940925,42.04525,23.261388,32.535867,31.711949,26.765531,22.442834,39.913332,23.940202,38.704963,34.02379,31.862216
FGRAM000v1_001073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.357823
FGRAM000v1_001074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_001075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255667,0.0,0.0,0.0
FGRAM000v1_001076,12.758649,11.523462,13.471808,8.255711,8.293782,6.415195,4.235191,5.782236,5.521443,11.177059,13.703458,10.367731
FGRAM000v1_001077,62.516908,75.011817,49.580835,40.900763,48.960487,45.473547,28.409721,37.50103,29.048303,43.958152,48.207828,41.435098
FGRAM000v1_001078,32.085609,30.85375,29.113491,30.525543,32.466352,32.952667,28.131343,27.80215,30.082846,40.301629,35.378602,41.513654
FGRAM000v1_001079,5.283584,5.391459,5.775661,9.773197,9.018502,8.854961,10.886251,12.64203,10.11631,13.99179,12.678049,15.0354
FGRAM000v1_001080,38.936535,40.921375,40.36381,63.876088,61.046531,58.038944,60.505295,62.496162,61.29317,69.398258,73.753227,67.291943
FGRAM000v1_001081,43.617218,46.927324,49.735041,51.816903,51.388846,50.269174,45.053106,47.779364,50.65286,75.351948,71.738538,66.314333
FGRAM000v1_001082,47.976541,52.86109,42.088626,62.610356,70.185042,61.328682,45.39168,63.848904,45.595123,62.490193,65.675646,70.533607
FGRAM000v1_001083,3.969758,2.375248,2.472373,3.097616,3.312785,4.737087,2.707181,3.577627,2.573058,3.475302,2.641679,3.243911
FGRAM000v1_001084,0.0,0.0,0.0,1.676626,1.987309,1.113001,0.675253,1.847097,1.976418,0.719977,1.06006,0.0
FGRAM000v1_001085,0.0,0.0,0.552178,0.0,0.0,1.022071,1.009872,2.447686,2.696537,0.683719,1.033901,2.200443
FGRAM000v1_001086,32.391012,34.741568,31.153993,40.076298,30.876044,30.903453,34.16897,37.770972,31.613195,34.703743,33.801586,39.564814
FGRAM000v1_001087,101.287544,103.61502,88.146441,114.244508,116.649654,121.429562,118.730883,132.604662,116.778753,118.68353,115.436465,117.391306
FGRAM000v1_001088,4.435193,4.427605,7.522534,8.01401,5.764469,8.896108,6.469728,6.958886,7.568263,5.657839,6.550673,4.562321
