"","B10_S1","B11_S2","B12_S3","D10_S4","D11_S5","D12_S6","H13_S7","H14_S8","H15_S9","L13_S10","L14_S11","L15_S12"
"FGRAM000v1_002644",14.1721177046974,14.0969913580096,14.2584127782827,14.925658956738,14.8718126746401,14.8615792909245,14.4420604514022,14.2367622699428,14.3080547475774,14.5002849096978,14.3639914820389,14.4705073223994
"FGRAM000v1_002645",11.1863864857316,11.2705177148067,11.2425834534083,12.0269014980281,11.9956304022157,11.9882479792125,11.4955138249989,11.4506145829444,11.3560035988349,12.1171866730537,12.0260856486825,11.94377856354
"FGRAM000v1_002646",6.7819373907281,6.92295536503974,6.73686318163374,8.79028299672104,8.61204473477647,8.83474893147024,7.14639511229173,7.02611731244914,7.08468616641463,8.50890597356612,8.29558715808199,8.51710771048227
"FGRAM000v1_002647",6.55758514603379,6.63991830858932,6.55758514603379,7.59518762360599,7.93289205734513,7.60087920667042,6.72772974500374,6.82772428267913,6.81330532477804,8.12115099121372,8.08326819655513,7.94927061399711
"FGRAM000v1_002648",6.55758514603379,6.55758514603379,6.55758514603379,6.95248741326339,7.3015526615142,7.14205422215418,6.55758514603379,6.64496449779329,6.65109126070023,7.47651025264232,7.42142459745252,7.37809574434532
"FGRAM000v1_002649",6.72621155100774,6.55758514603379,6.55758514603379,8.00083502446038,8.18601506394705,8.25092668808576,6.91932042650013,6.87516228336126,6.99204047720739,8.27293296414208,8.25806573341772,8.23230579803142
"FGRAM000v1_002650",6.83291352539283,6.72788162428578,6.7359988893757,8.69379663742095,8.75917196521984,8.7373400090055,7.19257783626541,7.2856396625814,7.17068713116691,9.36820963703543,9.2727938266602,9.12758103142626
"FGRAM000v1_002651",6.7254600912884,6.81802963913347,6.73625398663495,9.57610712729443,9.53254822564374,9.55080298364683,7.45988442727708,7.30986602962723,7.4304496214281,9.90598243004117,9.89227266569327,9.95517550625447
"FGRAM000v1_002652",6.63972574911034,6.64193071011956,6.55758514603379,8.56579081648453,8.52392639167721,8.61749144290616,7.09403254254963,7.0462643338685,7.02844188450833,9.06216665348885,9.02253368476985,8.9124271941741
"FGRAM000v1_002653",6.7257564116808,6.55758514603379,6.55758514603379,8.70659751465291,8.90712222747173,8.73428427216306,7.08587364670289,7.08904742344033,7.15249374445853,9.50631810827061,9.40859884379854,9.48493278417833
"FGRAM000v1_002654",7.28790741263855,7.20786871885882,7.25224472446098,7.65932927731737,7.63064015830991,7.64272099621424,7.56891301202243,7.58907999221468,7.60635672612114,8.15759583733644,8.14752939507019,8.28522448450043
"FGRAM000v1_002655",6.63805713737949,6.68949417582309,6.55758514603379,6.63791338427231,6.69153628801584,6.74479111623355,6.63735495204375,6.64523991549096,6.55758514603379,6.62335342826697,6.76057863765605,6.64878311524359
"FGRAM000v1_002656",6.6857914125183,6.64184550519939,6.6729450428927,6.6868966759097,6.64118847305285,6.8396888630143,6.75539294618712,6.55758514603379,6.55758514603379,6.66087377732934,6.688450286353,6.6463373122087
"FGRAM000v1_002657",6.78472295298769,6.72981869832955,6.73559771838866,6.6392145338582,6.81442149684086,6.7439793313547,6.68500234373715,6.76963355157072,6.55758514603379,6.69274454536358,6.78896306533541,6.77197409482065
"FGRAM000v1_002659",9.36763057913025,9.41705470745098,9.48508035689361,10.3614699503404,10.4519942814046,10.3446220152953,9.90719937382493,9.76682658295342,9.91344803738256,10.1388710649743,10.1490193335103,10.1779628406126
"FGRAM000v1_002660",7.23395125114033,7.22477029493208,7.19672093379491,7.75938117116144,7.75564632688701,7.76229027126744,7.62032945034379,7.60452222400144,7.68388768000779,7.96520342707667,8.08399750789985,8.03655166319042
"FGRAM000v1_002661",7.02300688773863,6.99015992975149,7.10678292291827,7.44104592099138,7.39838220240086,7.43006733459861,7.46913310756387,7.38945379973179,7.44206377985414,8.50231952082052,8.40063821990749,8.32651274399639
"FGRAM000v1_002663",8.73208960619355,8.74275655517482,8.62815328675579,9.05868200007,9.33249298070833,9.01092791669524,8.37397095970995,8.31715664791496,8.24280421018624,7.5459188279102,7.55934856521507,7.56967419919632
"FGRAM000v1_002664",6.78440477069159,6.7923366588827,6.55758514603379,6.55758514603379,6.75908850654123,6.70192061588484,6.55758514603379,6.6944434824742,6.64977372407376,6.62237359765569,6.64112383955743,6.64727192195744
"FGRAM000v1_002665",6.55758514603379,6.55758514603379,6.55758514603379,6.63932322723865,6.64094056109061,6.650994599837,6.55758514603379,6.64452163780641,6.55758514603379,6.66149970811834,6.72600302347785,6.87992021964935
"FGRAM000v1_002666",6.92931196792559,6.86352620778407,6.78635170770754,7.62359503065647,7.62225555889953,7.61665515307074,7.15946760853002,7.21461732151873,7.1865161182375,8.18273175823425,8.09386749719783,8.13897748540447
"FGRAM000v1_002667",7.91477492659744,7.8806945209248,7.81663488351245,9.2254649838728,9.31980022762029,9.27298154278118,8.28394456738469,8.37456351121172,8.40596135279696,9.56809786207015,9.58103496154781,9.54035638902697
"FGRAM000v1_002668",6.55758514603379,6.64188191342552,6.55758514603379,6.55758514603379,6.64063311139718,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.69223663335164,6.55758514603379,6.55758514603379
"FGRAM000v1_002669",7.27216441475443,7.39516512801502,7.33260454593955,7.32398170143691,7.34450518569908,7.37619229030267,7.15217606311303,7.37821074397262,7.3038189717343,7.39746936886241,7.42842852600587,7.46696539411352
"FGRAM000v1_002670",7.72958571029003,7.64471112278603,7.81190087323356,8.45534466154211,8.43343674142765,8.44462229817229,7.99108373683913,8.07847813182105,8.06893111458816,8.60584866404437,8.51536814350347,8.48231177629254
"FGRAM000v1_002671",6.72496360933102,6.729640470514,6.82499185301124,7.05717084086467,7.19183607069561,6.99191356929081,7.10240777033012,6.89888991900934,7.13735902657203,7.34427593168719,7.45514668013182,7.1892205996469
"FGRAM000v1_002674",6.72266712921869,6.55758514603379,6.55758514603379,6.64099731364181,6.68770611602293,6.70279916350859,6.55758514603379,6.55758514603379,6.55758514603379,6.7189728555003,6.6878802969638,6.55758514603379
"FGRAM000v1_002676",6.55758514603379,6.55758514603379,6.67142583937821,6.55758514603379,6.7280404431614,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.66189157333699,6.68971956436189,6.55758514603379
