gene_id,product,lists,subcategory,biotype,contrast,method,log2FC,padj,significant,GO_IDs
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,DESeq2,-1.027,7.128010850103249e-55,True,F:GO:0016788; P:GO:0009058
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,limma-TPM,-0.679,0.0001376777659089,False,F:GO:0016788; P:GO:0009058
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,limma-FPKM,-0.647,0.0023676521060851,False,F:GO:0016788; P:GO:0009058
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,DESeq2,0.549,1.2811109326935699e-16,False,F:GO:0016788; P:GO:0009058
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,limma-TPM,0.799,7.09162999557181e-05,False,F:GO:0016788; P:GO:0009058
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,limma-FPKM,0.818,0.0006561940548023,False,F:GO:0016788; P:GO:0009058
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,DESeq2,-0.621,5.62035055743634e-21,False,F:GO:0016788; P:GO:0009058
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,limma-TPM,-0.129,0.328460871059407,False,F:GO:0016788; P:GO:0009058
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,limma-FPKM,-0.076,0.693058930855587,False,F:GO:0016788; P:GO:0009058
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,DESeq2,1.586,3.8255618841958e-130,True,F:GO:0016788; P:GO:0009058
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,limma-TPM,1.479,7.97661505589971e-08,True,F:GO:0016788; P:GO:0009058
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,limma-FPKM,1.464,2.52006490407805e-07,True,F:GO:0016788; P:GO:0009058
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,DESeq2,0.4,7.407579055082181e-09,False,F:GO:0016788; P:GO:0009058
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,limma-TPM,0.55,0.0026994573066388,False,F:GO:0016788; P:GO:0009058
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,limma-FPKM,0.57,0.0186229562997441,False,F:GO:0016788; P:GO:0009058
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,DESeq2,-1.178,3.67431749885404e-73,True,F:GO:0016788; P:GO:0009058
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,limma-TPM,-0.929,9.63134900642739e-06,False,F:GO:0016788; P:GO:0009058
FGSG_00047,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,limma-FPKM,-0.894,0.0001353401324227,False,F:GO:0016788; P:GO:0009058
FGSG_00048,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,DESeq2,-1.395,2.18536477417529e-106,True,F:GO:0016491; F:GO:0046872; P:GO:0055114
FGSG_00048,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,limma-TPM,-1.055,5.52274373748309e-07,True,F:GO:0016491; F:GO:0046872; P:GO:0055114
FGSG_00048,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,limma-FPKM,-1.023,7.46826045453743e-06,True,F:GO:0016491; F:GO:0046872; P:GO:0055114
FGSG_00048,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,DESeq2,0.5,2.22210027687604e-14,False,F:GO:0016491; F:GO:0046872; P:GO:0055114
FGSG_00048,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,limma-TPM,0.741,5.77980365953082e-05,False,F:GO:0016491; F:GO:0046872; P:GO:0055114
FGSG_00048,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,limma-FPKM,0.76,0.0006530279157783,False,F:GO:0016491; F:GO:0046872; P:GO:0055114
FGSG_00048,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,DESeq2,-0.828,2.27294581024491e-38,False,F:GO:0016491; F:GO:0046872; P:GO:0055114
