gene_id,FGSG_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FGRAM000v1_009596,,48.2076483037219,-0.679683176107447,0.240510446783014,-2.82600271713208,0.0047132864240463,0.008276428497877
FGRAM000v1_001508,,256.187683169261,0.326822469314615,0.115670793774231,2.82545367461138,0.0047213714581108,0.0082891239890361
FGRAM000v1_006841,,151.465003262905,0.400335361058864,0.141695421605916,2.82532319337938,0.0047232947305894,0.0082909988814928
FGRAM000v1_001328,,143.080074918793,0.466618387345755,0.165205067127223,2.82447987498118,0.0047357422218639,0.0083098387683792
FGRAM000v1_008667,,35.08202643145,0.84366491045418,0.298695761721015,2.82449575311407,0.0047355075845226,0.0083098387683792
FGRAM000v1_006496,,8.58949992901375,1.66739911224361,0.590450541771086,2.82394374174367,0.0047436710501632,0.0083222449754266
FGRAM000v1_001444,,267.553171181549,0.297737399456592,0.105445755677584,2.823607242827,0.004748653638959,0.0083294787771318
FGRAM000v1_005519,FGSG_04474,87.7731132054748,0.591754325152639,0.209599767270977,2.82325850289519,0.0047538224803046,0.0083370366024231
FGRAM000v1_006963,,6.23723390557767,-2.08147000439926,0.737292410102666,-2.82312685696767,0.004755774991135,0.0083389520602518
FGRAM000v1_009440,,55.3070514425107,-0.609966313605023,0.216068818391261,-2.82301869444431,0.0047573797502227,0.0083402571746987
FGRAM000v1_009606,,374.090104798129,-0.255820375668685,0.090714030682777,-2.82007506163273,0.0048012417140048,0.0084156303677846
FGRAM000v1_003163,,653.680413939511,0.205302117030176,0.072816692935442,2.81943753216303,0.0048107893776594,0.0084308409758909
FGRAM000v1_013311,FGSG_08965,198.955787780787,-0.355271724769613,0.126015689045804,-2.81926581888132,0.0048133638969665,0.0084338279561274
FGRAM000v1_004250,,70.6453050700265,-0.561442913753783,0.199150675099191,-2.81918659564747,0.0048145521213259,0.008434385272368
FGRAM000v1_003693,,75.348855015834,0.574878325203216,0.203948875337394,2.81873741275695,0.0048212941808697,0.008444670129232
FGRAM000v1_012856,,732.009500618971,-0.212354178790937,0.0753422313948534,-2.81852786756516,0.0048244422935012,0.0084486574798387
FGRAM000v1_007899,,76.5226068529767,0.520951090695314,0.184852845835754,2.81819351138468,0.0048294693620719,0.008455933259856
FGRAM000v1_006955,,16.8088955430833,1.15549619224393,0.41008785133721,2.81767964711975,0.0048372045872558,0.0084679472754688
FGRAM000v1_011747,,172.372802572918,-0.377652819129519,0.134086784422889,-2.81648054097904,0.0048552984102724,0.0084980873042201
FGRAM000v1_009525,,207.24010104066,-0.352306364827316,0.125096616860571,-2.81627412210505,0.0048584193229878,0.0085020145328978
FGRAM000v1_011072,,361.829156444886,0.316069505756034,0.112240914777266,2.81599189015211,0.0048626894150073,0.0085079509927195
FGRAM000v1_003364,,1190.18990899819,-0.186454546615528,0.0662230728951765,-2.81555262333816,0.0048693421563868,0.0085180533336685
FGRAM000v1_008400,,12.4580191104797,1.46199743289901,0.519411381105095,2.81471967323565,0.0048819798868455,0.008538619820136
FGRAM000v1_005580,FGSG_04425,459.071931718742,-0.235031048920801,0.083526623571786,-2.81384591966424,0.0048952685784637,0.008560317216498
FGRAM000v1_009836,,21.8033367437902,1.0438414565019,0.370977916498969,2.8137563183085,0.0048966331503348,0.0085611589332965
FGRAM000v1_009462,,368.142493752606,-0.266227099776879,0.0946637567928728,-2.81234454237214,0.0049181790726691,0.0085972785845594
FGRAM000v1_000700,,286.903640178805,0.319991487231476,0.113791018795875,2.81209791965652,0.0049219517097223,0.0086023220198951
FGRAM000v1_011524,,142.982470109262,-0.378986148891411,0.134778366695893,-2.81192121690075,0.0049246563765218,0.0086054974324186
FGRAM000v1_007424,,127.431271663503,0.471218880165004,0.16759496918645,2.81165289419142,0.0049287659770989,0.0086111262826279
FGRAM000v1_012158,,411.536254564913,-0.375509669149514,0.133584217660137,-2.8110331873551,0.0049382691946698,0.0086261746808316
FGRAM000v1_003534,,329.238326979758,-0.303758141046101,0.108091133350329,-2.81020405310773,0.0049510099050925,0.0086468718937048
FGRAM000v1_004918,,81.9886493545282,-0.514973629499141,0.183258721777345,-2.81009069857435,0.0049527540508259,0.0086483597576393
FGRAM000v1_012999,,70.7229498928414,0.550739190892263,0.196215058097257,2.80681409588493,0.0050034107605256,0.0087352414448443
FGRAM000v1_003103,,227.500944039613,-0.334143274157039,0.119073781094108,-2.80618681196455,0.0050131619143881,0.00875068943565
FGRAM000v1_001653,,25.4365205649913,-0.882743759104374,0.314670110755216,-2.80529903836678,0.0050269917594835,0.0087732501124729
FGRAM000v1_011430,,177.700670646084,-0.3411440549019,0.121679862972615,-2.80361965051421,0.0050532478499345,0.008817485402235
FGRAM000v1_007072,,171.33746836842,0.424074150281363,0.151288018676725,2.80309144101842,0.0050615316395477,0.0088303502847616
FGRAM000v1_009894,FGSG_10937,39.8256102408416,0.744943928434471,0.265834731746797,2.80228216809539,0.0050742470971942,0.0088509406357933
FGRAM000v1_012284,,411.886869569259,0.262057470702596,0.0935208246435191,2.80212959735441,0.0050766475517392,0.008853534494244
FGRAM000v1_012972,FGSG_09246,5.50580154431021,2.08610648863925,0.744680054724123,2.80134599470651,0.0050889924582405,0.0088734671519564
FGRAM000v1_011670,,980.022196568658,-0.251792526103442,0.0899306123569873,-2.79985334808941,0.0051125827697689,0.0089129972639154
FGRAM000v1_002914,,51.1395526710155,0.807215000011147,0.288423631930638,2.79871311032264,0.0051306700294609,0.0089429211644605
FGRAM000v1_004543,,472.912816090121,-0.348647539694687,0.124681045802983,-2.79631549005139,0.0051688915653416,0.0090079226794061
FGRAM000v1_006913,,48.0290637838908,-0.742458789384438,0.265561034647603,-2.79581223340869,0.0051769468022206,0.0090203389095677
FGRAM000v1_005640,,225.601042353244,-0.348920030082267,0.12485753656041,-2.79454520483389,0.0051972773953105,0.0090541354767694
FGRAM000v1_001159,,129.40469883337,0.517412666113866,0.185170609699242,2.79424832566171,0.0052020515038341,0.0090608239401014
FGRAM000v1_008448,,661.916269254619,-0.212110293239438,0.0759300884368057,-2.79349461598443,0.0052141896996674,0.0090803343080984
FGRAM000v1_005403,,264.873707189111,-0.308293926472871,0.110365783613729,-2.79338320608381,0.0052159860811858,0.0090818309834622
FGRAM000v1_011625,,231.441582461918,-0.411137022787898,0.147197067221633,-2.79310607574031,0.0052204569770554,0.0090879830241736
FGRAM000v1_012476,,33.1060903876585,0.878125836732824,0.314406291111732,2.79296522225365,0.0052227306688078,0.0090903085603795
FGRAM000v1_004012,FGSG_10623,7.66387517619546,1.88809502258208,0.676064921812024,2.79277176150704,0.0052258550182515,0.0090941135892122
FGRAM000v1_010993,,1989.37557019732,-0.460175441063922,0.16478271043997,-2.79261968585935,0.00522831219255,0.0090967564319489
FGRAM000v1_006599,FGSG_03545,27.6260660670606,0.974821181156147,0.349140787725398,2.7920575751317,0.0052374036031524,0.0091109391825836
FGRAM000v1_005469,FGSG_04519,7.31564698309294,1.78966433642716,0.641267509010496,2.79082334794833,0.0052574157502495,0.0091441110474014
FGRAM000v1_010196,,5859.34800736926,0.439078869780347,0.1573739434148,2.79003537849364,0.0052702282358545,0.009164751038776
FGRAM000v1_008282,,479.98721325337,0.253900494801081,0.0910101365262443,2.7898045700422,0.0052739865484654,0.0091696415451614
FGRAM000v1_011591,,165.66777714186,-0.385584896899417,0.13832171797196,-2.78759476496367,0.0053100921022994,0.0092307608944742
FGRAM000v1_008527,,97.2585220935979,0.529512642303756,0.189959775257709,2.78749878275753,0.0053116653828521,0.0092318401570711
FGRAM000v1_005912,,818.519751349084,-0.203925781677299,0.0731663432872324,-2.78715284262244,0.0053173393118809,0.0092400448099788
FGRAM000v1_007972,,445.405505237399,0.266798997882907,0.0957370954360818,2.7867880957495,0.0053233276270644,0.009248792738687
FGRAM000v1_009592,,36.9091126117796,0.786495651830246,0.282318178739258,2.78584841876808,0.0053387830564823,0.0092739828255346
FGRAM000v1_002536,,5.11734660415429,-2.1818620233944,0.783364754276349,-2.78524405327624,0.0053487448185222,0.0092896225633284
FGRAM000v1_010910,,934.756112313495,-0.194795408060704,0.0699543812258911,-2.78460626263974,0.0053592757287909,0.0093062450088087
FGRAM000v1_012489,,163.890855322365,-0.375579434751172,0.134950028350625,-2.78310008038936,0.005384219483094,0.0093478845512503
FGRAM000v1_011287,,249.033805983339,-0.298395015792203,0.107227517148161,-2.78282127319891,0.005388848266518,0.0093542453881374
FGRAM000v1_012263,,181.294304117493,-0.351602948755443,0.12635389164135,-2.78268396950886,0.0053911291155706,0.009356529009351
FGRAM000v1_000942,,268.423189825325,-0.346321638788156,0.124470500764168,-2.78235916672598,0.0053965281153732,0.0093642225245815
FGRAM000v1_010135,,32.5716050595851,-0.812856708725227,0.292197745123675,-2.78187194217115,0.0054046361082488,0.0093766131729472
FGRAM000v1_002792,,190.086045593703,-0.394389083628056,0.141841048935825,-2.78050033179391,0.0054275204245301,0.0094146305431229
FGRAM000v1_006106,,61.3264418637624,-0.622584545215139,0.223926719208572,-2.7803048578372,0.0054307888766671,0.0094186145252342
FGRAM000v1_002705,,26.4365482621352,0.884580622371658,0.318225577975953,2.77972822925787,0.0054404408375847,0.0094336660176581
FGRAM000v1_003395,,1017.49589782064,0.275894982544673,0.0992768913819792,2.77904534181208,0.0054518914518748,0.0094501401722144
FGRAM000v1_009033,,210.725907998813,-0.379211822150948,0.136451766538096,-2.77909060301594,0.0054511318421603,0.0094501401722144
FGRAM000v1_011303,,1603.22942209078,-0.213415736271922,0.0768961395774455,-2.77537646811232,0.0055137841498068,0.0095557142435326
FGRAM000v1_001782,,21.374651057882,1.07497046025144,0.387543959776601,2.77380264388871,0.0055405278645885,0.0096003461908217
FGRAM000v1_012339,,983.359493160461,-0.186189919008825,0.0671370701930319,-2.77328037213261,0.0055494285699978,0.009614050246468
FGRAM000v1_002317,,60.3254025913652,0.685873803122478,0.247327399887118,2.77314120245276,0.0055518025159381,0.0096164442078249
FGRAM000v1_002854,,231.864352796071,-0.381316517226396,0.137529831143162,-2.77260950629296,0.0055608805899663,0.0096304476609869
FGRAM000v1_012744,,956.400674040206,-0.226420857028989,0.0816689367125934,-2.77242322654208,0.00556406426034,0.0096342398848652
FGRAM000v1_006591,,252.686365303106,-0.328540477098707,0.118544193428114,-2.771459888484,0.0055805547413125,0.0096610675312631
FGRAM000v1_004762,,420.276076762909,0.272472299355066,0.0983348034064326,2.77086331508588,0.0055907890197462,0.0096770567800714
FGRAM000v1_012809,,59.2376423215265,0.646115290037498,0.233325380977261,2.76915990592754,0.0056201044557142,0.0097260618620315
FGRAM000v1_004969,,81.7732598796344,0.500640622788229,0.180831912105197,2.76854133189161,0.0056307843054717,0.0097428047613241
FGRAM000v1_011300,,253.096445992282,0.308090868870098,0.111369814393589,2.76637678304178,0.0056683001125099,0.0098044153441425
FGRAM000v1_012577,,2874.2764153272,0.215047663481316,0.0777364013304827,2.76637019209415,0.0056684146898354,0.0098044153441425
FGRAM000v1_001512,,399.925810165811,0.307384560742399,0.111124796564567,2.76612034618032,0.005672759563157,0.009810179918944
FGRAM000v1_007640,,5.00134553011249,2.19585376076576,0.793869343058831,2.76601405503957,0.0056746088992597,0.0098116275527157
FGRAM000v1_002999,,47.459381716537,0.641439106122057,0.231921765563534,2.76575639446112,0.0056790941359097,0.0098176314355935
FGRAM000v1_007027,,746.773259590666,-0.536356194556722,0.193953114274211,-2.76539098928012,0.0056854604240141,0.0098268844311642
FGRAM000v1_000087,,16.0684102532149,1.16178604521761,0.420626030243613,2.76204029632864,0.0057441388500528,0.0099265355452954
FGRAM000v1_012335,,408.563121898541,0.250938300635411,0.0908678909994023,2.7615728490613,0.0057523682037414,0.0099389848482826
FGRAM000v1_012402,,94.2053095573979,-0.48871580392364,0.17700356255015,-2.76105066408013,0.0057615737790223,0.0099531161361725
FGRAM000v1_009624,,9.49732024279789,1.70168145803614,0.616374468666054,2.76079160403721,0.0057661456648448,0.009959239117844
FGRAM000v1_002519,,48.4093226725912,0.665668600545928,0.24123797436401,2.75938563280043,0.0057910153156364,0.0099986304692668
FGRAM000v1_008336,,9.52497870899136,1.50706352668315,0.546149548421363,2.75943380533646,0.0057901616138003,0.0099986304692668
FGRAM000v1_010090,,34.5893893788463,-0.772031278195649,0.279934315436603,-2.7579015348352,0.0058173718038995,0.0100423481558678
FGRAM000v1_008479,,219.887997431919,0.363617329753392,0.131857572039155,2.75765224651199,0.0058218095744685,0.0100482194097798
FGRAM000v1_006874,,34.4790597484124,0.736791513828192,0.267282716597359,2.75659991490625,0.0058405765817764,0.0100770218595869
FGRAM000v1_008024,,1472.71958669464,-0.164697065958227,0.0597460172000532,-2.75662000040532,0.0058402178722965,0.0100770218595869
FGRAM000v1_005101,FGSG_08110,62.5123198646947,0.557930394297889,0.2024179504219,2.75632864148161,0.0058454232343146,0.0100835891457933
FGRAM000v1_007620,,360.454143482009,0.283627002509674,0.102953777851749,2.75489650237108,0.0058710704079161,0.0101260294419807
FGRAM000v1_009559,FGSG_13830,369.727305572874,0.272805495219135,0.0990888354730456,2.75314059264874,0.0059026541587794,0.0101786918272637
FGRAM000v1_010323,,14.8909059146835,1.26716233644048,0.460478122023365,2.75184048022195,0.0059261380112436,0.0102173702851271
FGRAM000v1_001458,,824.593263788634,0.198798473216313,0.0722488424893382,2.75158004428444,0.0059308523605045,0.0102236798737988
FGRAM000v1_002142,,89.9997257331405,-0.468396494394806,0.170296568253584,-2.7504752397437,0.0059508888713176,0.0102563950621767
FGRAM000v1_007549,FGSG_11540,7.68266792648705,1.8462079934133,0.671326633774085,2.75008900367059,0.0059579079473114,0.0102666669748071
FGRAM000v1_006466,,30.2590771232268,0.901449364387513,0.327844815667062,2.74962214227284,0.005966402187353,0.010279476786707
FGRAM000v1_004409,,58.5105590312799,0.611380253467284,0.222359164821608,2.74951677371956,0.0059683208085162,0.0102809549665804
FGRAM000v1_006477,,15.1089708322549,1.15798758719318,0.421392840459469,2.74800014620695,0.0059959982348491,0.0103267965334742
FGRAM000v1_000330,FGSG_00266,63.1030652754364,0.574167881955457,0.208980578156169,2.74747006167429,0.0060056991585973,0.0103416667159857
FGRAM000v1_000350,,314.551799999435,0.327045874636262,0.119046633560139,2.74720808859368,0.0060104986714411,0.0103480930057334
