"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGRAM000v1_009774",782.36567153585,0.302472858062378,0.0804188588458319,3.76121798298877,0.000169087991571648,0.000472734324287276
"FGRAM000v1_002016",16.9693191516579,1.52283048404263,0.404916264672191,3.7608528402174,0.000169335033666656,0.00047328848942644
"FGRAM000v1_008747",8.93426842282115,2.10708479329036,0.560412889687878,3.75987924628911,0.000169995391830949,0.000474997213322972
"FGRAM000v1_009242",269.812209823243,0.412889252537357,0.109854571029496,3.75850771313372,0.000170929770357922,0.000477470393106437
"FGRAM000v1_011210",341.964387461552,-0.356751128496294,0.0949418382565375,-3.75757553305777,0.000171567587729911,0.000479113980946708
"FGRAM000v1_000843",233.916728776126,-0.583045149694183,0.155170708543024,-3.75744336781528,0.000171658198970856,0.000479166625646573
"FGRAM000v1_011954",41.0195756984516,0.943209862579763,0.251027013039567,3.75740383936726,0.000171685308044006,0.000479166625646573
"FGRAM000v1_009468",236.711428620491,0.402429090311674,0.107111441468768,3.75710647521269,0.00017188937299157,0.000479598069201868
"FGRAM000v1_001444",267.553171181549,0.397070400808316,0.105716223080439,3.75600252485549,0.000172648951735878,0.000481578788252049
"FGRAM000v1_005978",163.761475291426,0.520164897247944,0.138506480467954,3.75552750665911,0.000172976760936667,0.000482354356662576
"FGRAM000v1_007581",9.27765454658545,-2.24039667233899,0.596598192373919,-3.75528571989842,0.000173143842271081,0.00048268141016209
"FGRAM000v1_002547",261.2699320444,0.405537878614588,0.1079949535142,3.75515582365861,0.000173233666827043,0.000482792965081807
"FGRAM000v1_007476",173.529593094034,-0.502927495530731,0.133961279678241,-3.75427509156903,0.000173843858879336,0.000484354275400232
"FGRAM000v1_009467",1253.71875483876,-0.25119531912386,0.0669514582135044,-3.75190213666164,0.000175497973509013,0.00048882237276519
"FGRAM000v1_005883",106.441303115564,0.646155416974402,0.172234411749363,3.75160463238142,0.000175706395714739,0.000489262307860663
"FGRAM000v1_003180",872.73300025486,0.262838542944206,0.0700694222864877,3.75111616975458,0.000176049102281164,0.0004900758036793
"FGRAM000v1_005417",12.7397331096755,-1.62350435929748,0.432916063013211,-3.75015966836033,0.000176722007355444,0.00049180775690391
"FGRAM000v1_012475",11.1134900888988,-2.13596774018365,0.570094719819407,-3.74668921834652,0.00017918385426469,0.000498515814979231
"FGRAM000v1_011854",15.9502392609149,-1.51362234179727,0.404093902629789,-3.74571932896492,0.000179877612289744,0.000500302351771733
"FGRAM000v1_001553",115.120896833786,-0.638511447369781,0.17054669150502,-3.74390990370509,0.000181178642872635,0.000503776415767199
"FGRAM000v1_009347",112.438521822666,-0.5986821493016,0.159926465059057,-3.74348391356316,0.000181486226484224,0.000504486949616169
"FGRAM000v1_012458",5.20304209637176,-4.23151101918167,1.13049429579248,-3.74306268941886,0.00018179085151683,0.00050518885428688
"FGRAM000v1_011593",252.081966343986,0.466509079855402,0.124650113307677,3.74254838183666,0.000182163445357131,0.000506079184822777
"FGRAM000v1_007306",7.66961611780544,-4.16698964771854,1.11406606201641,-3.74034340492923,0.00018376900905577,0.000510393411111054
"FGRAM000v1_008739",22.5793530069668,1.27384970698095,0.340633423139917,3.73964978315622,0.000184276817217184,0.000511657172525397
"FGRAM000v1_009218",56.2777110635559,-0.756498926572265,0.202304980618367,-3.7393984283528,0.000184461162252248,0.000511893644489479
"FGRAM000v1_011146",307.103092546861,-0.377107218415242,0.100847264925829,-3.73938964723136,0.000184467605509311,0.000511893644489479
"FGRAM000v1_003892",268.464004496192,0.416174301998737,0.111319227389552,3.73856620961238,0.000185072754149487,0.000513425931874922
"FGRAM000v1_012602",377.180016187063,-0.347615841848364,0.0930439378200134,-3.73603966032479,0.000186941196685356,0.000518460949777154
"FGRAM000v1_006032",226.711706884812,0.444312991383523,0.119049376604955,3.73217402773891,0.000189834272879398,0.000526333983701375
"FGRAM000v1_000361",80.1162833711596,0.661081836160953,0.177140082156367,3.73197205349265,0.000189986583128572,0.000526605647773878
"FGRAM000v1_005680",367.13705989682,-0.340440219582283,0.091234421334935,-3.73148878023215,0.000190351489334484,0.000527466262469741
"FGRAM000v1_011049",2644.00643155611,0.254294854813681,0.0681649982738736,3.73057817432892,0.000191040853155752,0.000529225204240841
"FGRAM000v1_009114",642.957970061917,-0.315087486737381,0.0845162256961426,-3.72813012107522,0.000192905774893336,0.000534238764583174
"FGRAM000v1_002094",771.213333841902,-0.258559806413574,0.0693849548496268,-3.72645347934481,0.000194192893622903,0.000537649733758013
"FGRAM000v1_009520",172.023995600894,0.47988282861137,0.128795000977108,3.72594297116132,0.000194586398761762,0.000538585369274059
"FGRAM000v1_012553",1310.52283224362,0.265883931300509,0.0713743151176255,3.72520466028053,0.000195156822265672,0.000540010013765674
"FGRAM000v1_003686",80.2130481744197,-0.705135671954381,0.189380022052167,-3.72338995588533,0.000196565558563201,0.000543752842224061
"FGRAM000v1_012379",421.461661518689,-0.348063111262863,0.093506346927469,-3.72234744164318,0.000197379167191439,0.000545847722563941
"FGRAM000v1_001039",290.300589591234,0.394958492256711,0.106173371060702,3.71993926830204,0.000199270688833701,0.000550921502243315
"FGRAM000v1_006310",6.33682355288557,-2.80712602991206,0.754806268225573,-3.71900201161705,0.000200011459187601,0.000552811826035192
"FGRAM000v1_003805",101.277809188315,-1.93607492466275,0.521151482948878,-3.71499456109706,0.000203208065214646,0.000561486823296911
"FGRAM000v1_011338",1145.44055177084,-0.297376159191363,0.0800598884609167,-3.71442135266695,0.000203669197936774,0.000562600608606768
"FGRAM000v1_011723",386.413299553637,0.322133678880254,0.0867310199098727,3.7141691544156,0.000203872396741807,0.000563001464848528
"FGRAM000v1_000702",1817.95284777884,-0.320488539350094,0.0863232574616514,-3.71265576362743,0.000205095757498247,0.000566218506815867
"FGRAM000v1_005995",49.996094794038,0.822196601941896,0.221489796081288,3.71211954902042,0.000205530862546076,0.000567258157932548
"FGRAM000v1_001736",153.689809852306,-0.503166019292261,0.135557495478892,-3.7118273505622,0.00020576832837827,0.000567623479492973
"FGRAM000v1_008206",304.234098800051,-0.357313874055462,0.0962639862160842,-3.71181256979529,0.000205780347357713,0.000567623479492973
"FGRAM000v1_010255",70.9766764434437,0.710086482569425,0.191404586821541,3.70987181844019,0.000207364209455627,0.000571829667781904
"FGRAM000v1_011690",103.139439780559,-0.591016288828703,0.159329560520141,-3.7093950858792,0.000207755022593454,0.000572744435153113
"FGRAM000v1_008029",825.064351807602,0.266341348539996,0.0718093210222805,3.70900803333536,0.000208072827075411,0.000573457467398909
"FGRAM000v1_001157",655.478098125854,-0.360767142661633,0.0972939332168087,-3.70801272734759,0.000208892159627112,0.000575388378307928
"FGRAM000v1_011790",9.87882435741843,1.95392020396452,0.526945047431128,3.70801512129194,0.000208890185309833,0.000575388378307928
"FGRAM000v1_007128",16.7079565729047,1.69655904728727,0.457566378805847,3.70778782242466,0.000209077719849262,0.000575735891619005
"FGRAM000v1_007601",19.7999416097104,-1.40821935210901,0.380028216467114,-3.70556524776069,0.000210919821945212,0.000580643520055366
"FGRAM000v1_003708",472.501193114374,-0.321501098455462,0.0867847514555682,-3.70458050594365,0.000211740853399869,0.000582738243045126
"FGRAM000v1_011405",541.042742873444,-0.362318139394072,0.0978132852911794,-3.7041812706269,0.000212074571337281,0.00058349100765605
"FGRAM000v1_005620",258.574129336728,0.450548730715651,0.121648754875826,3.70368550977404,0.00021248966178219,0.000584467165622805
"FGRAM000v1_000672",590.430353142653,0.381810466099244,0.103111222859671,3.7028992141706,0.000213149576032151,0.000586115983114791
"FGRAM000v1_13438",1067.04756610582,-0.329781319501686,0.0890826962935883,-3.70196831958062,0.000213933335784169,0.00058810431757117
"FGRAM000v1_012880",249.547839600379,-0.422602866300366,0.114183872951743,-3.70107314961168,0.000214689569204651,0.000590015875900391
"FGRAM000v1_007499",3852.48306027708,-0.269111123189644,0.0727379234552172,-3.69973612671701,0.000215823752752039,0.000592964749270271
"FGRAM000v1_001664",354.948435236472,0.347100466899257,0.0938221851815375,3.69955641331151,0.00021597663011828,0.000593216626731792
"FGRAM000v1_007326",29.7214644463864,1.04914873940883,0.283651699441285,3.69872185315781,0.000216687901434405,0.000595001651162519
"FGRAM000v1_007174",4.35911918871915,-4.24030634374575,1.14658031920269,-3.698220065991,0.000217116618165016,0.00059584127402987
"FGRAM000v1_010103",2486.90694098395,-0.266345644201419,0.072019914338839,-3.69822217433247,0.000217114815176089,0.00059584127402987
"FGRAM000v1_002355",429.10665533521,0.366570049390233,0.0991340322763792,3.69772156920098,0.000217543312162923,0.000596843284685881
"FGRAM000v1_002548",144.077666796431,0.489175041353403,0.132304121249603,3.6973530131426,0.00021785928802163,0.000597541052290226
"FGRAM000v1_001743",71.8944227738692,0.786051780165424,0.212686227995666,3.69582829867781,0.000219171062875814,0.000600968914414503
"FGRAM000v1_003238",76.8519166489912,0.6666152223217,0.180433576133223,3.69451870659319,0.000220303675392877,0.000603903711986188
"FGRAM000v1_006441",44.3263269934286,0.89241804752668,0.241589444782999,3.69394469335475,0.000220801846014954,0.00060509818869747
"FGRAM000v1_008280",547.655632038896,-0.352465810358939,0.0954335331354804,-3.69331197094597,0.000221352194013313,0.000606434939675252
"FGRAM000v1_000519",659.982445708717,-0.340923026619759,0.0923180892145114,-3.69291684349734,0.000221696532574808,0.000607206694051317
"FGRAM000v1_005155",442.054109710842,-0.380527406829718,0.103101556724695,-3.69080175817144,0.000223548315441694,0.000612105599315349
"FGRAM000v1_000643",16854.2056401214,-0.251532840681064,0.0681887421800255,-3.68877372773633,0.000225337507917347,0.000616830405038927
"FGRAM000v1_013220",1015.71537089942,0.248129386812134,0.0672858374067578,3.68769114534663,0.000226298090403014,0.000619284977491928
"FGRAM000v1_010611",337.789181805326,0.438483013297718,0.118920313881325,3.6872002687051,0.000226734913800488,0.000620305255283131
"FGRAM000v1_009007",375.148425132677,0.330552653286799,0.0896679311095688,3.6864088330853,0.00022744086696302,0.000622061039354559
"FGRAM000v1_009313",66.942036881226,0.774061855251645,0.210011719527588,3.68580313990506,0.000227982532652217,0.000623366625951463
"FGRAM000v1_004408",24.3861699306798,-1.34669593695404,0.365394216356689,-3.68559729921787,0.00022816688952419,0.000623694771618153
"FGRAM000v1_002998",965.843394788476,-0.307026993843254,0.0833200316643102,-3.68491211189455,0.000228781571680754,0.000625198695884283
"FGRAM000v1_001589",1253.35066753177,0.232537295152756,0.0631217956430712,3.68394613593793,0.000229650790044148,0.00062739715555184
"FGRAM000v1_007801",18.3555514986797,-1.40999542092265,0.382874838134911,-3.68265365201623,0.000230818660111125,0.000630410051410858
"FGRAM000v1_005949",446.688837890594,-0.368990274694212,0.10027817379522,-3.67966687793632,0.000233538823764643,0.000637659667253715
