GO	go_name	go_namespace
GO:0000794	condensed nuclear chromosome	CC
GO:0000795	synaptonemal complex	CC
GO:0000799		
GO:0000808	origin recognition complex	CC
GO:0000810	diacylglycerol diphosphate phosphatase activity	MF
GO:0000811	GINS complex	CC
GO:0000812	Swr1 complex	CC
GO:0000813	ESCRT I complex	CC
GO:0000814	ESCRT II complex	CC
GO:0000815	ESCRT III complex	CC
GO:0000818		
GO:0000821	obsolete regulation of arginine metabolic process	BP
GO:0000822	inositol hexakisphosphate binding	MF
GO:0000823	inositol-1,4,5-trisphosphate 6-kinase activity	MF
GO:0000824	inositol-1,4,5,6-tetrakisphosphate 3-kinase activity	MF
GO:0000825	inositol-1,3,4,5-tetrakisphosphate 6-kinase activity	MF
GO:0000827	inositol-1,3,4,5,6-pentakisphosphate kinase activity	MF
GO:0000828	inositol hexakisphosphate kinase activity	MF
GO:0000829	diphosphoinositol pentakisphosphate kinase activity	MF
GO:0000830	inositol hexakisphosphate 4-kinase activity	MF
GO:0000831	inositol hexakisphosphate 6-kinase activity	MF
GO:0000837	Doa10p ubiquitin ligase complex	CC
GO:0000838	Hrd1p ubiquitin ligase ERAD-M complex	CC
GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex	CC
GO:0000900	mRNA regulatory element binding translation repressor activity	MF
GO:0000902	cell morphogenesis	BP
GO:0000903	obsolete regulation of cell shape during vegetative growth phase	BP
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity	MF
GO:0000907	sulfonate dioxygenase activity	MF
GO:0000910	cytokinesis	BP
GO:0000915	actomyosin contractile ring assembly	BP
GO:0000916	actomyosin contractile ring contraction	BP
GO:0000917	division septum assembly	BP
GO:0000920	septum digestion after cytokinesis	BP
GO:0000921	septin ring assembly	BP
GO:0000922	spindle pole	CC
GO:0000923	equatorial microtubule organizing center	CC
GO:0000930	gamma-tubulin complex	CC
GO:0000932	P-body	CC
GO:0000935	division septum	CC
GO:0000936	primary cell septum	CC
GO:0000941		
GO:0000947	obsolete amino acid catabolic process to alcohol via Ehrlich pathway	BP
GO:0000956	nuclear-transcribed mRNA catabolic process	BP
GO:0000957	mitochondrial RNA catabolic process	BP
GO:0000964	mitochondrial RNA 5'-end processing	BP
GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	BP
GO:0000973	post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery	BP
GO:0000974	Prp19 complex	CC
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	MF
GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	MF
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	MF
GO:0000982		
GO:0000983		
GO:0000987	cis-regulatory region sequence-specific DNA binding	MF
GO:0000989	obsolete transcription factor activity, transcription factor binding	MF
GO:0000991	obsolete transcription factor activity, core RNA polymerase II binding	MF
