GO	go_name	go_namespace
GO:0030946	protein tyrosine phosphatase activity, metal-dependent	MF
GO:0030950	establishment or maintenance of actin cytoskeleton polarity	BP
GO:0030951	establishment or maintenance of microtubule cytoskeleton polarity	BP
GO:0030953	astral microtubule organization	BP
GO:0030955	potassium ion binding	MF
GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex	CC
GO:0030958	RITS complex	CC
GO:0030968	endoplasmic reticulum unfolded protein response	BP
GO:0030969	obsolete mRNA splicing via endonucleolytic cleavage and ligation involved in unfolded protein response	BP
GO:0030970	retrograde protein transport, ER to cytosol	BP
GO:0030974	thiamine pyrophosphate transmembrane transport	BP
GO:0030975	thiamine binding	MF
GO:0030976	thiamine pyrophosphate binding	MF
GO:0030983	mismatched DNA binding	MF
GO:0030989	dynein-driven meiotic oscillatory nuclear movement	BP
GO:0030994	primary cell septum disassembly	BP
GO:0030998	linear element	CC
GO:0030999	linear element assembly	BP
GO:0031011	Ino80 complex	CC
GO:0031021	interphase microtubule organizing center	CC
GO:0031028	septation initiation signaling	BP
GO:0031030	negative regulation of septation initiation signaling	BP
GO:0031031	positive regulation of septation initiation signaling	BP
GO:0031047	regulatory ncRNA-mediated gene silencing	BP
GO:0031048	regulatory ncRNA-mediated heterochromatin formation	BP
GO:0031055	obsolete chromatin remodeling at centromere	BP
GO:0031064	obsolete negative regulation of histone deacetylation	BP
GO:0031071	cysteine desulfurase activity	MF
GO:0031072	heat shock protein binding	MF
GO:0031078	histone H3K14 deacetylase activity, hydrolytic mechanism	MF
GO:0031080	nuclear pore outer ring	CC
GO:0031081		
GO:0031083	BLOC-1 complex	CC
GO:0031087	deadenylation-independent decapping of nuclear-transcribed mRNA	BP
GO:0031097	medial cortex	CC
GO:0031098	stress-activated protein kinase signaling cascade	BP
GO:0031105	septin complex	CC
GO:0031106	septin ring organization	BP
GO:0031107	septin ring disassembly	BP
GO:0031115	negative regulation of microtubule polymerization	BP
GO:0031116	positive regulation of microtubule polymerization	BP
GO:0031118	rRNA pseudouridine synthesis	BP
GO:0031119	tRNA pseudouridine synthesis	BP
GO:0031120	snRNA pseudouridine synthesis	BP
GO:0031122	cytoplasmic microtubule organization	BP
GO:0031123	RNA 3'-end processing	BP
GO:0031124	mRNA 3'-end processing	BP
GO:0031126	sno(s)RNA 3'-end processing	BP
GO:0031134	sister chromatid biorientation	BP
GO:0031138	negative regulation of conjugation with cellular fusion	BP
GO:0031139	positive regulation of conjugation with cellular fusion	BP
GO:0031142	induction of conjugation upon nitrogen starvation	BP
GO:0031144	proteasome localization	BP
GO:0031145	anaphase-promoting complex-dependent catabolic process	BP
GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	BP
GO:0031151	histone H3K79 methyltransferase activity	MF
GO:0031166	obsolete integral component of vacuolar membrane	CC
GO:0031167	rRNA methylation	BP
GO:0031169	ferrichrome biosynthetic process	BP
GO:0031176	endo-1,4-beta-xylanase activity	MF
GO:0031177	phosphopantetheine binding	MF
GO:0031201	SNARE complex	CC
GO:0031204	post-translational protein targeting to membrane, translocation	BP
GO:0031207	Sec62/Sec63 complex	CC
GO:0031211	endoplasmic reticulum palmitoyltransferase complex	CC
GO:0031218	arabinogalactan endo-1,4-beta-galactosidase activity	MF
GO:0031221	arabinan metabolic process	BP
GO:0031222	arabinan catabolic process	BP
GO:0031225	obsolete anchored component of membrane	CC
GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	CC
GO:0031235	obsolete intrinsic component of the cytoplasmic side of the plasma membrane	CC
GO:0031251	PAN complex	CC
GO:0031261	DNA replication preinitiation complex	CC
GO:0031262	Ndc80 complex	CC
GO:0031292		
GO:0031297	replication fork processing	BP
GO:0031298	replication fork protection complex	CC
GO:0031303	obsolete integral component of endosome membrane	CC
GO:0031304	obsolete intrinsic component of mitochondrial inner membrane	CC
GO:0031305	obsolete integral component of mitochondrial inner membrane	CC
GO:0031307	obsolete integral component of mitochondrial outer membrane	CC
GO:0031310	obsolete intrinsic component of vacuolar membrane	CC
GO:0031314	extrinsic component of mitochondrial inner membrane	CC
GO:0031315	extrinsic component of mitochondrial outer membrane	CC
GO:0031321	ascospore-type prospore assembly	BP
GO:0031322	ascospore-type prospore-specific spindle pole body remodeling	BP
GO:0031328	obsolete positive regulation of cellular biosynthetic process	BP
GO:0031340	positive regulation of vesicle fusion	BP
GO:0031369	translation initiation factor binding	MF
GO:0031370	eukaryotic initiation factor 4G binding	MF
GO:0031380	nuclear RNA-directed RNA polymerase complex	CC
GO:0031382	mating projection formation	BP
GO:0031384	regulation of initiation of mating projection growth	BP
GO:0031385	regulation of termination of mating projection growth	BP
GO:0031386	protein tag activity	MF
GO:0031388	obsolete organic acid phosphorylation	BP
GO:0031389	Rad17 RFC-like complex	CC
GO:0031390	Ctf18 RFC-like complex	CC
GO:0031391	Elg1 RFC-like complex	CC
GO:0031410	cytoplasmic vesicle	CC
GO:0031415	NatA complex	CC
GO:0031416	NatB complex	CC
GO:0031417	NatC complex	CC
GO:0031418	L-ascorbic acid binding	MF
GO:0031422	RecQ family helicase-topoisomerase III complex	CC
GO:0031428	box C/D methylation guide snoRNP complex	CC
GO:0031429	box H/ACA snoRNP complex	CC
GO:0031431	Dbf4-dependent protein kinase complex	CC
GO:0031435	mitogen-activated protein kinase kinase kinase binding	MF
GO:0031440	regulation of mRNA 3'-end processing	BP
GO:0031461	cullin-RING ubiquitin ligase complex	CC
GO:0031463	Cul3-RING ubiquitin ligase complex	CC
GO:0031489	myosin V binding	MF
GO:0031490	chromatin DNA binding	MF
GO:0031491	nucleosome binding	MF
GO:0031492	nucleosomal DNA binding	MF
GO:0031493	obsolete nucleosomal histone binding	MF
GO:0031494	regulation of mating type switching	BP
GO:0031496	positive regulation of mating type switching	BP
GO:0031497		
GO:0031501	mannosyltransferase complex	CC
GO:0031503	protein-containing complex localization	BP
GO:0031505	fungal-type cell wall organization	BP
GO:0031507	heterochromatin formation	BP
GO:0031510	SUMO activating enzyme complex	CC
GO:0031511	Mis6-Sim4 complex	CC
GO:0031515	tRNA (m1A) methyltransferase complex	CC
GO:0031518	CBF3 complex	CC
GO:0031520	plasma membrane of cell tip	CC
GO:0031521	spitzenkorper	CC
GO:0031532	obsolete actin cytoskeleton reorganization	BP
GO:0031533	mRNA capping enzyme complex	CC
GO:0031534	minus-end directed microtubule sliding	BP
GO:0031536	positive regulation of exit from mitosis	BP
GO:0031564	transcription antitermination	BP
GO:0031571	mitotic G1 DNA damage checkpoint signaling	BP
GO:0031573	mitotic intra-S DNA damage checkpoint signaling	BP
GO:0031578	mitotic spindle orientation checkpoint signaling	BP
GO:0031588	nucleotide-activated protein kinase complex	CC
GO:0031591	wybutosine biosynthetic process	BP
GO:0031593	polyubiquitin modification-dependent protein binding	MF
GO:0031617		
GO:0031618		
GO:0031624	ubiquitin conjugating enzyme binding	MF
GO:0031625	ubiquitin protein ligase binding	MF
GO:0031647	regulation of protein stability	BP
GO:0031648	protein destabilization	BP
GO:0031657	obsolete regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle	BP
GO:0031662		
GO:0031683	G-protein beta/gamma-subunit complex binding	MF
GO:0031684	obsolete heterotrimeric G-protein complex cycle	BP
GO:0031860	telomeric 3' overhang formation	BP
GO:0031901	early endosome membrane	CC
GO:0031902	late endosome membrane	CC
GO:0031919	vitamin B6 transport	BP
GO:0031924	vitamin B6 transmembrane transporter activity	MF
GO:0031929	TOR signaling	BP
GO:0031930	mitochondria-nucleus signaling pathway	BP
GO:0031931	TORC1 complex	CC
GO:0031932	TORC2 complex	CC
GO:0031934	mating-type region heterochromatin	CC
GO:0031936	obsolete negative regulation of chromatin silencing	BP
GO:0031938	obsolete regulation of chromatin silencing at telomere	BP
GO:0031939	obsolete negative regulation of chromatin silencing at telomere	BP
GO:0031941	filamentous actin	CC
GO:0031942	i-AAA complex	CC
GO:0031954	positive regulation of protein autophosphorylation	BP
GO:0031956	medium-chain fatty acid-CoA ligase activity	MF
GO:0031957	very long-chain fatty acid-CoA ligase activity	MF
GO:0031965	nuclear membrane	CC
GO:0031966	mitochondrial membrane	CC
GO:0031982	vesicle	CC
GO:0031990	mRNA export from nucleus in response to heat stress	BP
GO:0032005	obsolete signal transduction involved in positive regulation of conjugation with cellular fusion	BP
GO:0032006	regulation of TOR signaling	BP
GO:0032007	negative regulation of TOR signaling	BP
GO:0032008	positive regulation of TOR signaling	BP
GO:0032012	regulation of ARF protein signal transduction	BP
GO:0032040	small-subunit processome	CC
GO:0032041	histone H3K14 deacetylase activity, NAD-dependent	MF
GO:0032044	DSIF complex	CC
GO:0032045	guanyl-nucleotide exchange factor complex	CC
GO:0032048	cardiolipin metabolic process	BP
GO:0032049	cardiolipin biosynthetic process	BP
GO:0032056	positive regulation of translation in response to stress	BP
GO:0032065	maintenance of protein location in cell cortex	BP
GO:0032078	obsolete negative regulation of endodeoxyribonuclease activity	BP
GO:0032079	positive regulation of endodeoxyribonuclease activity	BP
GO:0032093	SAM domain binding	MF
GO:0032116	SMC loading complex	CC
GO:0032120	ascospore-type prospore membrane formation	BP
GO:0032126	eisosome	CC
GO:0032133	chromosome passenger complex	CC
GO:0032135	DNA insertion or deletion binding	MF
GO:0032137	guanine/thymine mispair binding	MF
GO:0032138	single base insertion or deletion binding	MF
GO:0032139	dinucleotide insertion or deletion binding	MF
GO:0032147	activation of protein kinase activity	BP
GO:0032153	cell division site	CC
GO:0032160	septin filament array	CC
GO:0032174	cellular bud neck septin collar	CC
GO:0032185	septin cytoskeleton organization	BP
GO:0032186	cellular bud neck septin ring organization	BP
GO:0032194	obsolete ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate	BP
GO:0032197	retrotransposition	BP
GO:0032207	regulation of telomere maintenance via recombination	BP
GO:0032210	regulation of telomere maintenance via telomerase	BP
GO:0032211	negative regulation of telomere maintenance via telomerase	BP
GO:0032212	positive regulation of telomere maintenance via telomerase	BP
GO:0032216	glucosaminyl-phosphatidylinositol O-acyltransferase activity	MF
GO:0032220	obsolete plasma membrane fusion involved in cytogamy	BP
GO:0032221	Rpd3S complex	CC
GO:0032232	negative regulation of actin filament bundle assembly	BP
GO:0032233	positive regulation of actin filament bundle assembly	BP
GO:0032258	cytoplasm to vacuole targeting by the Cvt pathway	BP
GO:0032259	methylation	BP
GO:0032264	IMP salvage	BP
GO:0032266	phosphatidylinositol-3-phosphate binding	MF
GO:0032297	negative regulation of DNA-templated DNA replication initiation	BP
GO:0032299	ribonuclease H2 complex	CC
GO:0032300	mismatch repair complex	CC
GO:0032301	MutSalpha complex	CC
GO:0032324	molybdopterin cofactor biosynthetic process	BP
GO:0032366	intracellular sterol transport	BP
GO:0032389	MutLalpha complex	CC
GO:0032390	MutLbeta complex	CC
GO:0032392	DNA geometric change	BP
GO:0032403		
GO:0032432	actin filament bundle	CC
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	BP
GO:0032439		
GO:0032443	regulation of ergosterol biosynthetic process	BP
GO:0032446	protein modification by small protein conjugation	BP
GO:0032447	protein urmylation	BP
GO:0032451	demethylase activity	MF
GO:0032456	endocytic recycling	BP
GO:0032463	negative regulation of protein homooligomerization	BP
GO:0032465	regulation of cytokinesis	BP
GO:0032473	cytoplasmic side of mitochondrial outer membrane	CC
GO:0032508	obsolete DNA duplex unwinding	BP
GO:0032511	late endosome to vacuole transport via multivesicular body sorting pathway	BP
GO:0032527	obsolete protein exit from endoplasmic reticulum	BP
GO:0032541	cortical endoplasmic reticulum	CC
GO:0032543	mitochondrial translation	BP
GO:0032545	CURI complex	CC
GO:0032549	ribonucleoside binding	MF
GO:0032581	ER-dependent peroxisome organization	BP
GO:0032585	multivesicular body membrane	CC
GO:0032592	obsolete integral component of mitochondrial membrane	CC
GO:0032774	RNA biosynthetic process	BP
GO:0032777	piccolo histone acetyltransferase complex	CC
GO:0032780	negative regulation of ATP-dependent activity	BP
GO:0032781	positive regulation of ATP-dependent activity	BP
GO:0032786	positive regulation of DNA-templated transcription, elongation	BP
GO:0032790	ribosome disassembly	BP
GO:0032865	ERMES complex	CC
GO:0032866	D-xylose reductase (NADPH) activity	MF
GO:0032872	regulation of stress-activated MAPK cascade	BP
GO:0032873	negative regulation of stress-activated MAPK cascade	BP
GO:0032874	positive regulation of stress-activated MAPK cascade	BP
GO:0032878	regulation of establishment or maintenance of cell polarity	BP
GO:0032880	regulation of protein localization	BP
GO:0032888	regulation of mitotic spindle elongation	BP
GO:0032889	regulation of vacuole fusion, non-autophagic	BP
GO:0032931	histone H3K56 acetyltransferase activity	MF
GO:0032933	SREBP signaling pathway	BP
GO:0032936	SREBP-SCAP complex	CC
GO:0032947		
GO:0032949	regulation of alpha-glucan biosynthetic process	BP
GO:0032955	regulation of division septum assembly	BP
GO:0032956	regulation of actin cytoskeleton organization	BP
GO:0032958	inositol phosphate biosynthetic process	BP
GO:0032968	positive regulation of transcription elongation by RNA polymerase II	BP
GO:0032974	amino acid transmembrane export from vacuole	BP
GO:0032977	membrane insertase activity	MF
GO:0032979	protein insertion into mitochondrial inner membrane from matrix	BP
GO:0032995	regulation of fungal-type cell wall biogenesis	BP
GO:0033047	regulation of mitotic sister chromatid segregation	BP
GO:0033062		
GO:0033100	NuA3 histone acetyltransferase complex	CC
GO:0033101	cellular bud membrane	CC
GO:0033106	cis-Golgi network membrane	CC
GO:0033108	mitochondrial respiratory chain complex assembly	BP
GO:0033110	Cvt vesicle membrane	CC
GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane	CC
GO:0033120	positive regulation of RNA splicing	BP
GO:0033157	regulation of intracellular protein transport	BP
GO:0033167	ARC complex	CC
GO:0033168	obsolete conversion of ds siRNA to ss siRNA involved in RNA interference	BP
GO:0033179	proton-transporting V-type ATPase, V0 domain	CC
GO:0033180	proton-transporting V-type ATPase, V1 domain	CC
GO:0033186	CAF-1 complex	CC
GO:0033203	DNA helicase A complex	CC
GO:0033229	L-cysteine transmembrane transporter activity	MF
GO:0033234	negative regulation of protein sumoylation	BP
GO:0033254	vacuolar transporter chaperone complex	CC
GO:0033255	SAS acetyltransferase complex	CC
GO:0033260	nuclear DNA replication	BP
GO:0033262	regulation of nuclear cell cycle DNA replication	BP
GO:0033263	CORVET complex	CC
GO:0033290	eukaryotic 48S preinitiation complex	CC
GO:0033309	SBF transcription complex	CC
GO:0033314	mitotic DNA replication checkpoint signaling	BP
GO:0033328	obsolete peroxisome membrane targeting sequence binding	MF
GO:0033365	protein localization to organelle	BP
GO:0033384	geranyl diphosphate biosynthetic process	BP
GO:0033386	geranylgeranyl diphosphate biosynthetic process	BP
GO:0033494	ferulate metabolic process	BP
GO:0033499	beta-D-galactose catabolic process via UDP-galactose, Leloir pathway	BP
GO:0033503	HULC complex	CC
GO:0033523	obsolete histone H2B ubiquitination	BP
GO:0033550	MAP kinase tyrosine phosphatase activity	MF
GO:0033551	monopolin complex	CC
GO:0033553	rDNA heterochromatin	CC
GO:0033554	cellular response to stress	BP
GO:0033557	Slx1-Slx4 complex	CC
GO:0033562	co-transcriptional gene silencing by RNA interference machinery	BP
GO:0033565	ESCRT-0 complex	CC
GO:0033566	gamma-tubulin complex localization	BP
GO:0033567	DNA replication, Okazaki fragment processing	BP
GO:0033573	high-affinity iron permease complex	CC
GO:0033588	elongator holoenzyme complex	CC
GO:0033592	RNA strand annealing activity	MF
GO:0033596	TSC1-TSC2 complex	CC
GO:0033597	mitotic checkpoint complex	CC
GO:0033609	oxalate metabolic process	BP
GO:0033611	oxalate catabolic process	BP
GO:0033613		
GO:0033615	mitochondrial proton-transporting ATP synthase complex assembly	BP
GO:0033617	mitochondrial respiratory chain complex IV assembly	BP
GO:0033621	nuclear mRNA surveillance of meiosis-specific transcripts	BP
GO:0033673	negative regulation of kinase activity	BP
GO:0033674	positive regulation of kinase activity	BP
GO:0033676		
GO:0033679	3'-5' DNA/RNA helicase activity	MF
GO:0033680		
GO:0033683	obsolete nucleotide-excision repair, DNA incision	BP
GO:0033696	heterochromatin boundary formation	BP
GO:0033698	Rpd3L complex	CC
GO:0033721	aldehyde dehydrogenase (NADP+) activity	MF
GO:0033743	peptide-methionine (R)-S-oxide reductase activity	MF
GO:0033768	SUMO-targeted ubiquitin ligase complex	CC
GO:0033833	hydroxymethylfurfural reductase (NADH) activity	MF
GO:0033859	furaldehyde metabolic process	BP
GO:0033897	ribonuclease T2 activity	MF
GO:0033917	exo-poly-alpha-galacturonosidase activity	MF
GO:0033919	glucan 1,3-alpha-glucosidase activity	MF
GO:0033943	galactan 1,3-beta-galactosidase activity	MF
GO:0033961	cis-stilbene-oxide hydrolase activity	MF
GO:0033962	P-body assembly	BP
GO:0033971	hydroxyisourate hydrolase activity	MF
GO:0034038	deoxyhypusine synthase activity	MF
GO:0034039	8-oxo-7,8-dihydroguanine DNA N-glycosylase activity	MF
GO:0034042	5-formyluracil DNA N-glycosylase activity	MF
GO:0034043	5-hydroxymethyluracil DNA N-glycosylase activity	MF
GO:0034044	exomer complex	CC
GO:0034045	phagophore assembly site membrane	CC
GO:0034057	RNA strand-exchange activity	MF
GO:0034063	cytoplasmic stress granule assembly	BP
GO:0034065		
GO:0034067	protein localization to Golgi apparatus	BP
GO:0034080	CENP-A containing chromatin assembly	BP
GO:0034087	establishment of mitotic sister chromatid cohesion	BP
GO:0034089	establishment of meiotic sister chromatid cohesion	BP
GO:0034090	maintenance of meiotic sister chromatid cohesion	BP
GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex	CC
GO:0034099	luminal surveillance complex	CC
GO:0034184	positive regulation of maintenance of mitotic sister chromatid cohesion	BP
GO:0034198	cellular response to amino acid starvation	BP
GO:0034203	glycolipid translocation	BP
GO:0034220	monoatomic ion transmembrane transport	BP
GO:0034221	obsolete fungal-type cell wall chitin biosynthetic process	BP
GO:0034243	regulation of transcription elongation by RNA polymerase II	BP
GO:0034244	negative regulation of transcription elongation by RNA polymerase II	BP
GO:0034245	mitochondrial DNA-directed RNA polymerase complex	CC
GO:0034247	snoRNA splicing	BP
GO:0034257	nicotinamide riboside transmembrane transporter activity	MF
GO:0034258	nicotinamide riboside transport	BP
GO:0034260	negative regulation of GTPase activity	BP
GO:0034271	phosphatidylinositol 3-kinase complex, class III, type I	CC
GO:0034272	phosphatidylinositol 3-kinase complex, class III, type II	CC
GO:0034274	Atg12-Atg5-Atg16 complex	CC
GO:0034276	kynurenic acid biosynthetic process	BP
GO:0034314	Arp2/3 complex-mediated actin nucleation	BP
GO:0034316	negative regulation of Arp2/3 complex-mediated actin nucleation	BP
GO:0034353	mRNA 5'-diphosphatase activity	MF
GO:0034354	'de novo' NAD+ biosynthetic process from L-tryptophan	BP
GO:0034356	obsolete NAD biosynthesis via nicotinamide riboside salvage pathway	BP
GO:0034388	Pwp2p-containing subcomplex of 90S preribosome	CC
GO:0034389	lipid droplet organization	BP
GO:0034396	obsolete negative regulation of transcription from RNA polymerase II promoter in response to iron	BP
GO:0034398	telomere tethering at nuclear periphery	BP
GO:0034399	nuclear periphery	CC
GO:0034401	obsolete chromatin organization involved in regulation of transcription	BP
GO:0034402	obsolete recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex	BP
GO:0034414	obsolete tRNA 3'-trailer cleavage, endonucleolytic	BP
GO:0034415	obsolete tRNA 3'-trailer cleavage, exonucleolytic	BP
GO:0034424	Vps55/Vps68 complex	CC
GO:0034431	bis(5'-adenosyl)-hexaphosphatase activity	MF
GO:0034432	bis(5'-adenosyl)-pentaphosphatase activity	MF
GO:0034448		
GO:0034450	ubiquitin-ubiquitin ligase activity	MF
GO:0034455	t-UTP complex	CC
GO:0034456	UTP-C complex	CC
GO:0034457	Mpp10 complex	CC
GO:0034462	small-subunit processome assembly	BP
GO:0034472	snRNA 3'-end processing	BP
GO:0034473	U1 snRNA 3'-end processing	BP
GO:0034474	U2 snRNA 3'-end processing	BP
GO:0034475	U4 snRNA 3'-end processing	BP
GO:0034476	U5 snRNA 3'-end processing	BP
GO:0034477	U6 snRNA 3'-end processing	BP
GO:0034478	phosphatidylglycerol catabolic process	BP
GO:0034479	phosphatidylglycerol phospholipase C activity	MF
GO:0034485	phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity	MF
GO:0034486	vacuolar transmembrane transport	BP
GO:0034496	multivesicular body membrane disassembly	BP
GO:0034497	protein localization to phagophore assembly site	BP
GO:0034498	early endosome to Golgi transport	BP
GO:0034499	late endosome to Golgi transport	BP
GO:0034501	protein localization to kinetochore	BP
GO:0034502	protein localization to chromosome	BP
GO:0034503	protein localization to nucleolar rDNA repeats	BP
GO:0034504	protein localization to nucleus	BP
GO:0034506	chromosome, centromeric core domain	CC
GO:0034507		
GO:0034508	obsolete centromere complex assembly	BP
GO:0034511	U3 snoRNA binding	MF
GO:0034513	box H/ACA snoRNA binding	MF
GO:0034515	proteasome storage granule	CC
GO:0034517	ribophagy	BP
GO:0034551	mitochondrial respiratory chain complex III assembly	BP
GO:0034553	mitochondrial respiratory chain complex II assembly	BP
GO:0034599	cellular response to oxidative stress	BP
GO:0034605	cellular response to heat	BP
GO:0034613		
GO:0034614	cellular response to reactive oxygen species	BP
GO:0034629		
GO:0034631	microtubule anchoring at spindle pole body	BP
GO:0034638	phosphatidylcholine catabolic process	BP
GO:0034643	establishment of mitochondrion localization, microtubule-mediated	BP
GO:0034644	cellular response to UV	BP
GO:0034649	obsolete histone demethylase activity (H3-monomethyl-K4 specific)	MF
GO:0034652	obsolete extrachromosomal circular DNA localization involved in cell aging	BP
GO:0034657	GID complex	CC
GO:0034658	isopropylmalate transmembrane transporter activity	MF
GO:0034659	isopropylmalate transport	BP
GO:0034701	tripeptidase activity	MF
GO:0034715	pICln-Sm protein complex	CC
GO:0034719	SMN-Sm protein complex	CC
GO:0034720	obsolete histone H3-K4 demethylation	BP
GO:0034724		
GO:0034727	piecemeal microautophagy of the nucleus	BP
GO:0034729	obsolete histone H3-K79 methylation	BP
GO:0034739	histone H4K16 deacetylase activity, hydrolytic mechanism	MF
GO:0034755	iron ion transmembrane transport	BP
GO:0034765	regulation of monoatomic ion transmembrane transport	BP
GO:0034770	obsolete histone H4-K20 methylation	BP
GO:0034963	box C/D sno(s)RNA processing	BP
GO:0034964	box H/ACA sno(s)RNA processing	BP
GO:0034965	intronic box C/D snoRNA processing	BP
GO:0034967	Set3 complex	CC
GO:0034968	obsolete histone lysine methylation	BP
GO:0034973	Sid2-Mob1 complex	CC
GO:0034975	protein folding in endoplasmic reticulum	BP
GO:0034982	mitochondrial protein processing	BP
GO:0034986	iron chaperone activity	MF
GO:0034990		
GO:0034991		
GO:0034992	microtubule organizing center attachment site	CC
GO:0035004	obsolete phosphatidylinositol 3-kinase activity	MF
GO:0035023	regulation of Rho protein signal transduction	BP
GO:0035024	negative regulation of Rho protein signal transduction	BP
GO:0035064	obsolete methylated histone binding	MF
GO:0035065	obsolete regulation of histone acetylation	BP
GO:0035066	obsolete positive regulation of histone acetylation	BP
GO:0035091	phosphatidylinositol binding	MF
GO:0035101	FACT complex	CC
GO:0035103	obsolete sterol regulatory element binding protein cleavage	BP
GO:0035194	regulatory ncRNA-mediated post-transcriptional gene silencing	BP
GO:0035226	glutamate-cysteine ligase catalytic subunit binding	MF
GO:0035241	protein-arginine omega-N monomethyltransferase activity	MF
GO:0035242	protein-arginine omega-N asymmetric methyltransferase activity	MF
GO:0035243	protein-arginine omega-N symmetric methyltransferase activity	MF
GO:0035246	peptidyl-arginine N-methylation	BP
GO:0035247	peptidyl-arginine omega-N-methylation	BP
GO:0035267	NuA4 histone acetyltransferase complex	CC
GO:0035269	protein O-linked glycosylation via mannose	BP
GO:0035299	inositol-1,3,4,5,6-pentakisphosphate 2-kinase activity	MF
GO:0035307	obsolete positive regulation of protein dephosphorylation	BP
GO:0035308	obsolete negative regulation of protein dephosphorylation	BP
GO:0035312	5'-3' DNA exonuclease activity	MF
GO:0035327		
GO:0035335	peptidyl-tyrosine dephosphorylation	BP
GO:0035339	obsolete SPOTS complex	CC
GO:0035349	coenzyme A transmembrane transport	BP
GO:0035350	FAD transmembrane transport	BP
GO:0035353	nicotinamide mononucleotide transmembrane transport	BP
GO:0035356	intracellular triglyceride homeostasis	BP
GO:0035361	Cul8-RING ubiquitin ligase complex	CC
GO:0035371	microtubule plus-end	CC
GO:0035372	protein localization to microtubule	BP
GO:0035376	sterol import	BP
GO:0035389		
GO:0035392	obsolete maintenance of chromatin silencing at telomere	BP
GO:0035432	positive regulation of gluconate transmembrane transport	BP
GO:0035434	copper ion transmembrane transport	BP
GO:0035442	dipeptide transmembrane transport	BP
GO:0035444	nickel cation transmembrane transport	BP
GO:0035445	borate transmembrane transport	BP
GO:0035493	SNARE complex assembly	BP
GO:0035494	SNARE complex disassembly	BP
GO:0035524	proline transmembrane transport	BP
GO:0035542	regulation of SNARE complex assembly	BP
GO:0035543	positive regulation of SNARE complex assembly	BP
GO:0035544	negative regulation of SNARE complex assembly	BP
GO:0035552	obsolete oxidative single-stranded DNA demethylation	BP
GO:0035556	intracellular signal transduction	BP
GO:0035601	protein deacylation	BP
GO:0035613	RNA stem-loop binding	MF
GO:0035621	ER to Golgi ceramide transport	BP
GO:0035624	obsolete receptor transactivation	BP
GO:0035649	Nrd1 complex	CC
GO:0035657	eRF1 methyltransferase complex	CC
GO:0035658	Mon1-Ccz1 complex	CC
GO:0035672	oligopeptide transmembrane transport	BP
GO:0035674	tricarboxylic acid transmembrane transport	BP
GO:0035690		
GO:0035725	sodium ion transmembrane transport	BP
GO:0035753	maintenance of DNA trinucleotide repeats	BP
GO:0035786		
GO:0035822	gene conversion	BP
GO:0035838	growing cell tip	CC
GO:0035839	non-growing cell tip	CC
GO:0035840	old growing cell tip	CC
GO:0035853	chromosome passenger complex localization to spindle midzone	BP
GO:0035859	Seh1-associated complex	CC
GO:0035861	site of double-strand break	CC
GO:0035863	dITP catabolic process	BP
GO:0035870	dITP diphosphatase activity	MF
GO:0035879	plasma membrane lactate transport	BP
GO:0035925	mRNA 3'-UTR AU-rich region binding	MF
GO:0035939	microsatellite binding	MF
GO:0035948	obsolete positive regulation of gluconeogenesis by positive regulation of transcription from RNA polymerase II promoter	BP
GO:0035955	obsolete negative regulation of dipeptide transport by negative regulation of transcription from RNA polymerase II promoter	BP
GO:0035959	obsolete positive regulation of glyoxylate cycle by positive regulation of transcription from RNA polymerase II promoter	BP
GO:0035965	cardiolipin acyl-chain remodeling	BP
GO:0035970	peptidyl-threonine dephosphorylation	BP
GO:0035974	meiotic spindle pole body	CC
GO:0035977	protein deglycosylation involved in glycoprotein catabolic process	BP
GO:0035999	tetrahydrofolate interconversion	BP
GO:0036002	pre-mRNA binding	MF
GO:0036003	obsolete positive regulation of transcription from RNA polymerase II promoter in response to stress	BP
GO:0036010	protein localization to endosome	BP
GO:0036033	mediator complex binding	MF
GO:0036091	obsolete positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress	BP
GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	BP
GO:0036129	obsolete negative regulation of transcription from RNA polymerase II promoter in response to hydrogen peroxide	BP
GO:0036166	phenotypic switching	BP
GO:0036205	histone catabolic process	BP
GO:0036217	dGTP diphosphatase activity	MF
GO:0036218	dTTP diphosphatase activity	MF
GO:0036219	GTP diphosphatase activity	MF
GO:0036220	ITP diphosphatase activity	MF
GO:0036221	UTP diphosphatase activity	MF
GO:0036222	XTP diphosphatase activity	MF
GO:0036228	protein localization to nuclear inner membrane	BP
GO:0036246	phytochelatin 2 import into vacuole	BP
GO:0036252	obsolete positive regulation of transcription from RNA polymerase II promoter in response to menadione	BP
GO:0036258	multivesicular body assembly	BP
GO:0036261	7-methylguanosine cap hypermethylation	BP
