candidate,n_goi_partners,max_TOM,sum_TOM,goi_partners,module,product,GO,score_black,gba_black,own_l2fc_black,own_sig_black,score_dark,gba_dark,own_l2fc_dark,own_sig_dark,score_low,gba_low,own_l2fc_low,own_sig_low,score_combined,n_treatments_sig
FGSG_07741,29,0.461718707677008,12.618898594974706,FGSG_00007;FGSG_01866;FGSG_02255;FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02840;FGSG_03532;FGSG_03539;FGSG_03541;FGSG_03543;FGSG_03600;FGSG_03842;FGSG_03881;FGSG_07896;FGSG_08081;FGSG_08082;FGSG_08083;FGSG_08795;FGSG_09187;FGSG_10670;FGSG_11184;FGSG_11326;FGSG_13952,2,uncharacterized protein,GO:0005576;GO:0009405,0.9875922199865861,5.326028709393576,-2.18147935127832,1,0.9056338028169013,7.410495386290048,1.68114271232009,1,0.8480214621059692,6.961494983089338,1.65593577444309,1,0.9137491616364856,3
FGSG_02823,42,0.49870000638575684,18.15858477717843,FGSG_00330;FGSG_00743;FGSG_00765;FGSG_01422;FGSG_02030;FGSG_02272;FGSG_02461;FGSG_02554;FGSG_02972;FGSG_03061;FGSG_03340;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03747;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04490;FGSG_04588;FGSG_04589;FGSG_04590;FGSG_04591;FGSG_04592;FGSG_04593;FGSG_04596;FGSG_05368;FGSG_05610;FGSG_06055;FGSG_08493;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09456;FGSG_09826;FGSG_09834;FGSG_10347;FGSG_10922;FGSG_10947;FGSG_12180;FGSG_12223,1,uncharacterized protein,GO:0004622;GO:0009395;GO:0016021;GO:0055085,0.7970489604292421,0.8495652587906748,1.45990285272678,1,0.9691482226693493,10.845580466835122,-4.75284635854286,1,0.9714285714285714,13.846566797930276,-7.17754242451482,1,0.912541918175721,3
FGSG_12977,44,0.502321484395592,19.384691364604898,FGSG_00330;FGSG_00743;FGSG_00765;FGSG_01422;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02972;FGSG_03061;FGSG_03340;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03747;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04588;FGSG_04589;FGSG_04590;FGSG_04591;FGSG_04592;FGSG_04593;FGSG_05368;FGSG_05610;FGSG_06055;FGSG_07075;FGSG_08493;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09826;FGSG_09834;FGSG_10347;FGSG_10922;FGSG_10947;FGSG_12180;FGSG_12222;FGSG_12223;FGSG_13136,1,uncharacterized protein,,0.7910798122065728,0.8529515051513843,1.218637731726,1,0.9614352783366868,10.990951327131325,-3.05178059174837,1,0.9715627095908785,15.380429401386268,-4.47262626310504,1,0.9080259333780459,3
FGSG_13840,15,0.46876061891292065,6.5580166968285925,FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02840;FGSG_02903;FGSG_03599;FGSG_03842;FGSG_08083;FGSG_11326;FGSG_13952,2,uncharacterized protein,GO:0016614;GO:0050660;GO:0055114,0.9515090543259557,4.018168597534625,-1.42264984597013,1,0.9076458752515091,5.708083392499138,3.48920715092106,1,0.8587525150905433,5.708083392499138,3.27837463727588,1,0.9059691482226694,3
FGSG_07683,27,0.46213397897663816,11.729741256829337,FGSG_00007;FGSG_01866;FGSG_02255;FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_03532;FGSG_03539;FGSG_03541;FGSG_03543;FGSG_03600;FGSG_03842;FGSG_03881;FGSG_07896;FGSG_08081;FGSG_08082;FGSG_08083;FGSG_08795;FGSG_09187;FGSG_11184;FGSG_11326;FGSG_13952,2,uncharacterized protein,GO:0008270;GO:0016491;GO:0055114,0.9819584171696848,5.286675051299657,-1.74815704832232,1,0.8985915492957747,6.578255810658072,1.88511140187779,1,0.823608316566063,6.126013135432515,1.58646888888788,1,0.9013860943438408,3
FGSG_12280,33,0.4946960271425268,14.10575661129406,FGSG_00330;FGSG_00743;FGSG_01422;FGSG_02030;FGSG_02272;FGSG_02461;FGSG_02554;FGSG_02972;FGSG_03061;FGSG_03340;FGSG_03546;FGSG_03548;FGSG_03747;FGSG_03894;FGSG_04458;FGSG_04589;FGSG_04590;FGSG_04592;FGSG_04593;FGSG_05368;FGSG_05610;FGSG_08493;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09826;FGSG_10347;FGSG_10444;FGSG_10922;FGSG_10947;FGSG_12180;FGSG_12223,1,uncharacterized protein,,0.8151576123407109,1.273294399462429,1.27593566543474,1,0.9473507712944333,8.543897611821015,-3.17132012556922,1,0.9416498993963782,10.265009980682848,-3.28758506711433,1,0.9013860943438408,3
FGSG_08357,27,0.46195865473732983,11.673598052271215,FGSG_00007;FGSG_01866;FGSG_02255;FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02840;FGSG_03539;FGSG_03541;FGSG_03599;FGSG_03600;FGSG_03842;FGSG_03881;FGSG_07896;FGSG_08081;FGSG_08082;FGSG_08083;FGSG_08795;FGSG_09187;FGSG_11184;FGSG_11326;FGSG_13952,2,uncharacterized protein,GO:0008080,0.9611670020120724,4.867970135480282,-1.17165424834938,1,0.907981220657277,7.439400571941613,1.72275177990253,1,0.8329309188464118,6.986591138161714,1.41088811376451,1,0.9006930471719204,3
FGSG_09210,15,0.45536516854438897,6.4519179888359455,FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02840;FGSG_03599;FGSG_03842;FGSG_08083;FGSG_11184;FGSG_11326;FGSG_13952,2,uncharacterized protein,GO:0006950;GO:0016021;GO:0055085,0.9511737089201877,3.9605959224515486,-1.5071712580364,1,0.9001341381623071,5.618924631340082,3.86702720575114,1,0.8504359490274983,5.618924631340082,2.9142982736054,1,0.9005812653699977,3
FGSG_11757,52,0.5072631565634188,24.238185837579117,FGSG_00330;FGSG_00743;FGSG_00765;FGSG_01422;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02782;FGSG_03061;FGSG_03295;FGSG_03340;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04309;FGSG_04458;FGSG_04490;FGSG_04588;FGSG_04589;FGSG_04590;FGSG_04591;FGSG_04592;FGSG_04593;FGSG_04596;FGSG_04763;FGSG_05368;FGSG_05610;FGSG_05843;FGSG_06055;FGSG_06257;FGSG_06506;FGSG_07075;FGSG_07528;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09826;FGSG_09834;FGSG_10347;FGSG_10922;FGSG_10947;FGSG_11206;FGSG_12180;FGSG_12222;FGSG_12223;FGSG_13136,1,uncharacterized protein,,0.7488933601609657,0.427893931002664,1.04113626690725,1,0.9651911468812877,13.008305625781038,-2.5935106483459,1,0.9855801475519785,18.674385288995197,-4.11975468375023,1,0.8998882181980773,3
FGSG_10802,32,0.4919638425140745,13.693238982494961,FGSG_00330;FGSG_00743;FGSG_01422;FGSG_02030;FGSG_02272;FGSG_02461;FGSG_02554;FGSG_02972;FGSG_03061;FGSG_03340;FGSG_03546;FGSG_03548;FGSG_03747;FGSG_03894;FGSG_04458;FGSG_04589;FGSG_04590;FGSG_04593;FGSG_05368;FGSG_05610;FGSG_08493;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09826;FGSG_10347;FGSG_10444;FGSG_10922;FGSG_10947;FGSG_12180;FGSG_12223,1,uncharacterized protein,GO:0016021,0.8215291750503018,1.2857284193461236,1.40322864798713,1,0.9380952380952381,8.153302822214117,-2.80502896294254,1,0.9344064386317907,9.855767292919305,-2.88017659170595,1,0.8980102839257769,3
FGSG_03143,14,0.46839340993183,6.102250809463038,FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02840;FGSG_03842;FGSG_08083;FGSG_08795;FGSG_11326;FGSG_13952,2,uncharacterized protein,GO:0016787,0.9603621730382293,3.9981400440861727,-1.89545897772418,1,0.8853118712273642,5.252351901624415,3.04077680412532,1,0.8446009389671361,5.252351901624415,3.10209685956738,1,0.8967583277442431,3
FGSG_01149,35,0.5004236135719827,15.438117181535903,FGSG_00330;FGSG_00743;FGSG_00765;FGSG_01422;FGSG_01621;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02972;FGSG_03061;FGSG_03747;FGSG_03894;FGSG_04458;FGSG_04588;FGSG_04589;FGSG_04590;FGSG_04593;FGSG_05368;FGSG_05610;FGSG_08493;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09834;FGSG_10347;FGSG_10444;FGSG_10922;FGSG_10947;FGSG_11206;FGSG_12180;FGSG_12222;FGSG_12223;FGSG_13136,1,uncharacterized protein,GO:0016021,0.8355466130114018,1.3410176970997583,1.83219569254581,1,0.9127431254191818,7.441046839376313,-1.86885594375478,1,0.9389000670690812,10.556536938470888,-3.00048933703873,1,0.895729935166555,3
FGSG_11073,21,0.4599202713258968,8.953630896775241,FGSG_00007;FGSG_01866;FGSG_02255;FGSG_02320;FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02903;FGSG_03842;FGSG_03881;FGSG_08083;FGSG_08795;FGSG_09187;FGSG_10670;FGSG_11326;FGSG_13952,2,uncharacterized protein,GO:0004177;GO:0006508,0.9633132126089872,4.75816512970464,-1.35751548359414,1,0.8816901408450705,6.034719994795662,1.72601266319604,1,0.8416498993963784,6.034719994795662,2.18066650554661,1,0.8955510842834787,3
FGSG_02281,49,0.5003656970438197,22.712239993724545,FGSG_00330;FGSG_00743;FGSG_00765;FGSG_01422;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02782;FGSG_03061;FGSG_03295;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04490;FGSG_04588;FGSG_04589;FGSG_04590;FGSG_04591;FGSG_04592;FGSG_04593;FGSG_04596;FGSG_04763;FGSG_05368;FGSG_05610;FGSG_05843;FGSG_06055;FGSG_06257;FGSG_07075;FGSG_07528;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09826;FGSG_09834;FGSG_10347;FGSG_10922;FGSG_10947;FGSG_11206;FGSG_12180;FGSG_12222;FGSG_12223;FGSG_13136,1,uncharacterized protein,GO:0016021;GO:0055085,0.7297116029510395,0.414493960200596,1.05106134765191,1,0.9676727028839704,12.464701129037776,-3.02873876550891,1,0.9859825620389,17.639856461608957,-5.55914159462049,1,0.8944556226246366,3
