candidate,n_goi_partners,max_TOM,sum_TOM,goi_partners,module,product,GO
FGSG_05342,6,0.42785530995767074,2.514090163670054,FGSG_02271;FGSG_02272;FGSG_02461;FGSG_03061;FGSG_05610;FGSG_13136,1,uncharacterized protein,
FGSG_00209,6,0.44309042862758663,2.5140469623375523,FGSG_00007;FGSG_02327;FGSG_03842;FGSG_08082;FGSG_08083;FGSG_13952,2,uncharacterized protein,GO:0016021
FGSG_10891,6,0.42505927328150167,2.5125496310116326,FGSG_02324;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_11326,2,uncharacterized protein,GO:0003677;GO:0005634;GO:0006351;GO:0006355;GO:0008270
FGSG_00478,6,0.4549108102296025,2.5109989380265723,FGSG_00743;FGSG_00765;FGSG_03894;FGSG_05610;FGSG_08774;FGSG_10922,1,phospho-2-dehydro-3-deoxyheptonate aldolase,GO:0003849;GO:0005634;GO:0005739;GO:0009073;GO:0009423
FGSG_08111,6,0.4389446278534201,2.5092130223483946,FGSG_00007;FGSG_01866;FGSG_02327;FGSG_03881;FGSG_08083;FGSG_13952,2,uncharacterized protein,
FGSG_03360,6,0.42508321982173314,2.504764969692226,FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_08083;FGSG_13952,2,uncharacterized protein,GO:0016021;GO:0055085
FGSG_06183,6,0.4329768410446387,2.50418511074983,FGSG_00743;FGSG_03061;FGSG_03894;FGSG_04589;FGSG_05610;FGSG_12180,1,ATP-dependent protease La,GO:0004176;GO:0004252;GO:0005524;GO:0005759;GO:0006515;GO:0034599;GO:0043565;GO:0051131;GO:0070407;GO:0090296
FGSG_02210,6,0.43355825452715363,2.5039744176168917,FGSG_00007;FGSG_03539;FGSG_03842;FGSG_08082;FGSG_08083;FGSG_13952,2,uncharacterized protein,
FGSG_08765,6,0.43449225554424425,2.503872800154165,FGSG_00330;FGSG_03546;FGSG_03548;FGSG_04458;FGSG_08601;FGSG_10347,1,uncharacterized protein,
FGSG_07455,6,0.4493329387172452,2.503596562424546,FGSG_00743;FGSG_02272;FGSG_03061;FGSG_03894;FGSG_05610;FGSG_09012,1,uncharacterized protein,GO:0016021
FGSG_05679,6,0.44061594719053215,2.5033633292492867,FGSG_00007;FGSG_03532;FGSG_03539;FGSG_03881;FGSG_08083;FGSG_13952,2,uncharacterized protein,GO:0016021
FGSG_03935,6,0.4302973277640186,2.502904860952945,FGSG_00007;FGSG_03539;FGSG_03842;FGSG_08082;FGSG_08083;FGSG_13952,2,uncharacterized protein,
FGSG_06398,6,0.4373311962918543,2.5007438105987654,FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_11326,2,uncharacterized protein,
FGSG_03024,6,0.4303842888426478,2.5005064837725297,FGSG_02272;FGSG_02461;FGSG_03061;FGSG_05610;FGSG_09456;FGSG_09834,1,uncharacterized protein,GO:0016021;GO:0055085
FGSG_03004,6,0.4534457644318371,2.4990329682229144,FGSG_00743;FGSG_02461;FGSG_03894;FGSG_05610;FGSG_08774;FGSG_09012,1,uncharacterized protein,
FGSG_02570,6,0.4366484185297094,2.4988778607944067,FGSG_00007;FGSG_01866;FGSG_03532;FGSG_03881;FGSG_08083;FGSG_13952,2,uncharacterized protein,GO:0003746;GO:0003924;GO:0005525;GO:0005737;GO:0006414;GO:0042256
FGSG_02117,6,0.4246789952686607,2.4988338040088154,FGSG_00007;FGSG_03539;FGSG_03842;FGSG_08082;FGSG_08083;FGSG_13952,2,uncharacterized protein,GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0055114
