gene_id,DEG_black,l2fc_black,DEG_dark,l2fc_dark,DEG_low,l2fc_low
FGSG_08399,0,0.317695925685972,0,0.754260228627756,0,0.471274522927028
FGSG_08456,0,0.633462879997138,0,-0.230889066042346,1,-3.52298499205612
FGSG_08493,0,0.790103221357476,0,-0.498888920082791,0,-0.50050332856552
FGSG_08601,0,0.270244891699778,1,-4.79970517694908,1,-4.86883078813333
FGSG_08608,1,1.12280230407611,0,0.591429332659258,0,-0.37238918413797
FGSG_08712,0,0.191953974523195,0,-0.818906205710734,1,-1.12052223861893
FGSG_08774,0,0.309066655540093,0,-0.411751278404071,0,-0.607283549701491
FGSG_08795,0,-0.540088051009394,1,1.24951891852261,1,1.39755355397474
FGSG_08852,0,-0.189856110855587,0,0.449179753898538,1,-1.5338877023741
FGSG_09012,0,0.273655928948232,0,-0.747288275913761,1,-1.03129061640746
FGSG_09064,0,-0.93519548923197,0,0.300775232376315,0,0.513000336735756
FGSG_09070,0,-0.195369937820712,0,-0.203846272132775,0,0.020826879518557
FGSG_09090,0,,0,,0,
FGSG_09127,0,-0.0181022772428927,0,-0.0330720766369034,0,-0.0447116450679053
FGSG_09132,0,,0,,0,
FGSG_09182,0,-0.002713229399978,0,-0.143594886647557,0,-0.0642020723560587
FGSG_09183,0,0.0030949186295625,0,0.103366613720351,0,0.109688303306828
FGSG_09184,0,0.0017401311056738,0,0.0030086905182285,0,0.0438594995733183
FGSG_09186,0,-0.0999687976090227,0,0.0645620954502365,0,-0.0741476151510217
FGSG_09187,0,-0.865625560742236,1,1.19154049582168,1,1.03846376656986
FGSG_09189,0,-0.242138711195886,0,0.203462429427371,0,0.741339415033539
FGSG_09280,0,-0.139243117957614,1,-1.11252369494737,1,-1.23965174750268
FGSG_09372,0,-0.368447792140406,0,0.0090450772721453,0,-0.0037188986370923
FGSG_09456,0,-0.0191835592351751,0,-0.813644911976215,1,-1.11767993302511
FGSG_09580,0,0.581920205638252,0,0.449977036707609,0,0.130598160558156
FGSG_09613,0,-0.308245976334641,0,-0.0626608717954704,0,-0.622234753051317
FGSG_09786,0,-0.353538119219456,0,-0.346950283572613,0,-0.660299771382819
FGSG_09826,0,0.127019589186265,1,-4.56544086837841,1,-4.25783199508287
FGSG_09834,0,-0.0428603152072368,1,-1.67030040326565,1,-2.13817068288595
FGSG_09844,0,-0.117328052188747,0,-0.107244394048649,0,-0.196046155531534
FGSG_10030,0,0.280366008163997,0,-0.294992333363159,0,-0.240054056220039
FGSG_10065,0,-0.0431331928918515,0,0.2767067507022,0,0.325345218535649
FGSG_10206,1,-1.6883388715571,0,-0.268153524237433,1,1.24907856046584
FGSG_10328,0,0.0716080564239792,0,0.188679413593393,0,0.46467388325965
FGSG_10347,0,0.107305951324174,1,-1.05549873336533,1,-1.19912876121475
FGSG_10397,0,-0.657360872467888,0,-0.426035859062981,0,0.0062076069170446
FGSG_10444,1,1.56159003340822,1,-2.15072036635023,1,-1.43607405729813
FGSG_10445,0,-0.0147258617000469,0,-0.0978364330286365,0,-0.0791556627644234
FGSG_10446,0,-0.0514193156988181,0,0.22466413737015,0,0.744161940026364
FGSG_10458,0,,0,,0,
FGSG_10459,0,0.0919160323963107,0,0.102431969982412,0,0.283964649044765
FGSG_10460,0,,0,,0,
FGSG_10461,0,0.0198688321442192,0,0.0047734008182147,0,0.06586769146297
FGSG_10462,0,-0.0189299780988083,0,-0.0346373408087654,0,-0.0463024769848597
FGSG_10463,0,,0,,0,
FGSG_10464,0,0.0010900566271569,0,-0.0368027044227559,0,-0.123592994564896
FGSG_10563,0,-0.0494225262391881,0,-0.140963459761971,0,0.0011373652178192
FGSG_10670,0,-0.305158433713187,1,1.08344704512369,1,1.35663737347638
FGSG_10712,0,-0.0197571013975828,0,-0.0898859634694291,0,0.0207401400458652
FGSG_10784,1,-1.03230080078815,1,-2.36874168487659,1,-2.44593703752147
FGSG_10885,0,-0.0282948994961949,0,0.254615035204923,0,0.0056322331513352
FGSG_10922,1,1.49680826681286,1,-1.45256041660237,1,-1.41369876552281
FGSG_10947,0,0.105649473909399,0,-0.596924739542453,0,-0.655115711828409
FGSG_10985,0,0.0281748473645497,0,0.186876735469597,0,0.322629165233598
FGSG_11046,0,0.191711823072996,0,-0.322697988700454,0,-0.338504067584584
