gene_id,FGSG_id,product,baseMean,log2FoldChange,lfcSE,pvalue,padj,significant,direction,contrast
FGSG_05294,FGSG_05294,uncharacterized protein,478.992675529847,-1.43051378375423,0.150790771097762,2.7245802771387297e-22,1.1049128134964801e-20,True,up_in_dark_light,low_light_vs_dark_light
FGSG_13421,FGSG_13421,uncharacterized protein,144.917240877984,-2.0026272348097,0.212713213989557,3.38061609435704e-22,1.3609146841386e-20,True,up_in_dark_light,low_light_vs_dark_light
FGSG_04911,FGSG_04911,endoplasmic oxidoreductin-1 precursor,865.483299791844,-1.15885416477578,0.122703150694492,3.7995783283118296e-22,1.52399145358201e-20,True,up_in_dark_light,low_light_vs_dark_light
FGSG_04922,FGSG_04922,uncharacterized protein,243.864172749859,-1.26568196275898,0.134639769291897,4.80532347566497e-22,1.90651642590462e-20,True,up_in_dark_light,low_light_vs_dark_light
FGSG_05831,FGSG_05831,aldehyde dehydrogenase,334.940485513653,-1.35449062273447,0.144126724583472,5.27854023283045e-22,2.08673227189952e-20,True,up_in_dark_light,low_light_vs_dark_light
FGSG_02668,FGSG_02668,uncharacterized protein,83.3532895692238,1.85180880164244,0.19760557977712,5.77201222993346e-22,2.27363492498096e-20,True,up_in_low_light,low_light_vs_dark_light
FGSG_10226,FGSG_10226,uncharacterized protein,972.746772376843,-1.07305127370179,0.114427564448841,7.78537744947204e-22,3.04488605586113e-20,True,up_in_dark_light,low_light_vs_dark_light
FGSG_01960,FGSG_01960,uncharacterized protein,3238.66889907226,-1.02695752020499,0.109909058435678,1.11172474332684e-21,4.31726322585229e-20,True,up_in_dark_light,low_light_vs_dark_light
FGSG_03270,FGSG_03270,uncharacterized protein,923.90514374855,-1.09414404627418,0.117734329793715,1.6457147417660101e-21,6.36845246901706e-20,True,up_in_dark_light,low_light_vs_dark_light
FGSG_09008,FGSG_09008,uncharacterized protein,226.587666136704,-1.22729877344074,0.133017569037435,2.75253253748493e-21,1.0577039366069701e-19,True,up_in_dark_light,low_light_vs_dark_light
FGSG_07596,FGSG_07596,uncharacterized protein,288.229095402858,-1.29854557422407,0.140751809304895,2.88583292170629e-21,1.10506285050704e-19,True,up_in_dark_light,low_light_vs_dark_light
FGSG_06091,FGSG_06091,uncharacterized protein,566.457812228409,-1.10954096440501,0.12096534954242,5.0578771552421704e-21,1.9101742246086402e-19,True,up_in_dark_light,low_light_vs_dark_light
FGSG_02023,FGSG_02023,uncharacterized protein,159.88008948125,-1.67514552736959,0.184125958662393,6.49130889315291e-21,2.44313303889557e-19,True,up_in_dark_light,low_light_vs_dark_light
FGSG_13521,FGSG_13521,uncharacterized protein,5928.84555253952,-1.29438503659011,0.142319070123043,8.35931619291309e-21,3.12479200544608e-19,True,up_in_dark_light,low_light_vs_dark_light
FGSG_06080,FGSG_06080,uncharacterized protein,289.023940920139,-1.03524587129579,0.113846832850206,1.1848050398466201e-20,4.4139008094625e-19,True,up_in_dark_light,low_light_vs_dark_light
FGSG_02071,FGSG_02071,uncharacterized protein,735.450434121856,-1.28001059023982,0.141840371617374,1.64303566018565e-20,6.05938318974507e-19,True,up_in_dark_light,low_light_vs_dark_light
